# Frame Index: 303
Hand 0
  Landmark 0: x=508.369727, y=111.780588, z=-640.000000
  Landmark 1: x=457.555878, y=157.564956, z=-660.000000
  Landmark 2: x=420.349165, y=209.581305, z=-660.000000
  Landmark 3: x=409.580920, y=267.531420, z=-664.000000
  Landmark 4: x=407.280099, y=316.872741, z=-674.000000
  Landmark 5: x=489.226982, y=265.132393, z=-652.000000
  Landmark 6: x=492.409238, y=346.072039, z=-659.000000
  Landmark 7: x=498.522185, y=391.938309, z=-663.000000
  Landmark 8: x=506.186091, y=428.080840, z=-669.000000
  Landmark 9: x=533.669226, y=262.681908, z=-650.000000
  Landmark 10: x=551.517309, y=344.973801, z=-653.000000
  Landmark 11: x=569.176017, y=395.187604, z=-658.000000
  Landmark 12: x=583.914796, y=432.577870, z=-663.000000
  Landmark 13: x=571.154632, y=249.143642, z=-652.000000
  Landmark 14: x=595.620961, y=321.368373, z=-653.000000
  Landmark 15: x=613.716769, y=364.641331, z=-657.000000
  Landmark 16: x=632.679390, y=401.482094, z=-665.000000
  Landmark 17: x=600.181612, y=230.765913, z=-659.000000
  Landmark 18: x=642.080022, y=277.313906, z=-664.000000
  Landmark 19: x=667.105520, y=305.784354, z=-666.000000
  Landmark 20: x=686.923260, y=331.900190, z=-669.000000
Hand 1
  Landmark 0: x=102.249846, y=113.792370, z=-640.000000
  Landmark 1: x=60.004271, y=153.838384, z=-619.000000
  Landmark 2: x=55.321126, y=217.848607, z=-621.000000
  Landmark 3: x=102.142552, y=247.474258, z=-627.000000
  Landmark 4: x=148.407759, y=236.977066, z=-644.000000
  Landmark 5: x=72.993585, y=273.076765, z=-648.000000
  Landmark 6: x=66.252186, y=341.404671, z=-662.000000
  Landmark 7: x=66.552422, y=381.623609, z=-665.000000
  Landmark 8: x=69.685966, y=412.553378, z=-666.000000
  Landmark 9: x=113.049120, y=277.479121, z=-656.000000
  Landmark 10: x=118.420930, y=351.298748, z=-663.000000
  Landmark 11: x=125.141717, y=395.351457, z=-660.000000
  Landmark 12: x=131.162651, y=428.932295, z=-659.000000
  Landmark 13: x=146.911602, y=264.648518, z=-660.000000
  Landmark 14: x=159.274359, y=329.912764, z=-664.000000
  Landmark 15: x=164.489079, y=374.788068, z=-664.000000
  Landmark 16: x=169.448221, y=407.568909, z=-663.000000
  Landmark 17: x=177.472010, y=239.026197, z=-658.000000
  Landmark 18: x=200.852560, y=285.276953, z=-667.000000
  Landmark 19: x=212.695183, y=319.301408, z=-668.000000
  Landmark 20: x=221.419969, y=348.169101, z=-669.000000
