# Frame Index: 132
Hand 0
  Landmark 0: x=506.571723, y=121.649122, z=-639.000000
  Landmark 1: x=456.867253, y=168.432116, z=-661.000000
  Landmark 2: x=419.710336, y=219.669877, z=-659.000000
  Landmark 3: x=406.267637, y=276.271866, z=-662.000000
  Landmark 4: x=402.583264, y=325.438134, z=-675.000000
  Landmark 5: x=493.054329, y=277.236485, z=-653.000000
  Landmark 6: x=495.514510, y=356.472403, z=-661.000000
  Landmark 7: x=499.563558, y=401.316669, z=-663.000000
  Landmark 8: x=505.720485, y=436.236018, z=-667.000000
  Landmark 9: x=539.209314, y=274.157516, z=-653.000000
  Landmark 10: x=556.470848, y=354.753144, z=-654.000000
  Landmark 11: x=573.310096, y=406.145725, z=-659.000000
  Landmark 12: x=588.080289, y=442.998270, z=-664.000000
  Landmark 13: x=574.081968, y=258.762671, z=-653.000000
  Landmark 14: x=601.669276, y=329.055777, z=-654.000000
  Landmark 15: x=621.972362, y=373.001622, z=-657.000000
  Landmark 16: x=644.091641, y=410.459868, z=-665.000000
  Landmark 17: x=602.248651, y=237.992016, z=-658.000000
  Landmark 18: x=645.355821, y=282.524106, z=-663.000000
  Landmark 19: x=672.335947, y=311.018130, z=-666.000000
  Landmark 20: x=694.278842, y=337.654398, z=-669.000000
Hand 1
  Landmark 0: x=110.291824, y=117.815933, z=-640.000000
  Landmark 1: x=65.944208, y=157.010281, z=-621.000000
  Landmark 2: x=60.295083, y=223.015976, z=-622.000000
  Landmark 3: x=102.142552, y=256.343386, z=-627.000000
  Landmark 4: x=145.565220, y=247.028104, z=-637.000000
  Landmark 5: x=84.579292, y=282.526446, z=-651.000000
  Landmark 6: x=89.262477, y=351.298748, z=-663.000000
  Landmark 7: x=96.086950, y=392.206291, z=-667.000000
  Landmark 8: x=104.624823, y=423.241364, z=-667.000000
  Landmark 9: x=120.182767, y=281.503266, z=-651.000000
  Landmark 10: x=128.834663, y=356.508948, z=-663.000000
  Landmark 11: x=134.471668, y=401.575406, z=-660.000000
  Landmark 12: x=141.298816, y=433.452319, z=-658.000000
  Landmark 13: x=152.899552, y=270.462055, z=-659.000000
  Landmark 14: x=166.574967, y=338.261658, z=-664.000000
  Landmark 15: x=171.272249, y=380.942467, z=-662.000000
  Landmark 16: x=174.636452, y=411.324491, z=-659.000000
  Landmark 17: x=184.231405, y=245.976670, z=-660.000000
  Landmark 18: x=208.186153, y=294.711894, z=-667.000000
  Landmark 19: x=218.662714, y=329.306680, z=-667.000000
  Landmark 20: x=226.335132, y=359.197553, z=-668.000000
