# Frame Index: 100
Hand 0
  Landmark 0: x=504.776860, y=125.469737, z=-638.000000
  Landmark 1: x=456.181071, y=172.587702, z=-661.000000
  Landmark 2: x=418.282125, y=222.791282, z=-658.000000
  Landmark 3: x=403.757215, y=279.594054, z=-663.000000
  Landmark 4: x=396.693589, y=327.466028, z=-674.000000
  Landmark 5: x=497.106520, y=284.097766, z=-658.000000
  Landmark 6: x=499.563558, y=361.719148, z=-663.000000
  Landmark 7: x=501.646305, y=406.526869, z=-663.000000
  Landmark 8: x=506.768141, y=442.525979, z=-667.000000
  Landmark 9: x=540.860797, y=280.144534, z=-655.000000
  Landmark 10: x=560.233350, y=359.962169, z=-656.000000
  Landmark 11: x=574.343616, y=409.666145, z=-658.000000
  Landmark 12: x=591.053176, y=446.797278, z=-664.000000
  Landmark 13: x=575.107635, y=262.867963, z=-654.000000
  Landmark 14: x=605.570000, y=333.155178, z=-656.000000
  Landmark 15: x=624.986087, y=375.538155, z=-658.000000
  Landmark 16: x=646.258081, y=411.933928, z=-665.000000
  Landmark 17: x=602.248651, y=242.054278, z=-658.000000
  Landmark 18: x=647.372152, y=285.037460, z=-664.000000
  Landmark 19: x=675.474203, y=312.064885, z=-666.000000
  Landmark 20: x=695.346239, y=336.644968, z=-667.000000
Hand 1
  Landmark 0: x=104.260341, y=120.833605, z=-640.000000
  Landmark 1: x=49.707681, y=157.042507, z=-624.000000
  Landmark 2: x=19.571828, y=215.674952, z=-632.000000
  Landmark 3: x=8.707092, y=269.594438, z=-636.000000
  Landmark 4: x=2.785831, y=318.379771, z=-653.000000
  Landmark 5: x=86.390774, y=293.391255, z=-657.000000
  Landmark 6: x=95.654775, y=359.133892, z=-664.000000
  Landmark 7: x=105.357661, y=396.852051, z=-666.000000
  Landmark 8: x=113.726344, y=427.207950, z=-666.000000
  Landmark 9: x=122.401526, y=293.543128, z=-662.000000
  Landmark 10: x=132.799552, y=363.254505, z=-662.000000
  Landmark 11: x=140.691635, y=405.724706, z=-660.000000
  Landmark 12: x=147.948263, y=438.545236, z=-660.000000
  Landmark 13: x=154.401819, y=277.516260, z=-662.000000
  Landmark 14: x=167.365475, y=345.566940, z=-664.000000
  Landmark 15: x=173.089993, y=383.483715, z=-661.000000
  Landmark 16: x=176.706633, y=412.360244, z=-659.000000
  Landmark 17: x=184.987357, y=249.746991, z=-659.000000
  Landmark 18: x=209.233809, y=299.953529, z=-667.000000
  Landmark 19: x=220.758026, y=330.850292, z=-667.000000
  Landmark 20: x=227.407686, y=358.629573, z=-665.000000
