# Frame Index: 299
Hand 0
  Landmark 0: x=509.374974, y=112.786479, z=-640.000000
  Landmark 1: x=458.589398, y=158.600709, z=-659.000000
  Landmark 2: x=420.349165, y=210.707623, z=-660.000000
  Landmark 3: x=410.005454, y=267.935546, z=-663.000000
  Landmark 4: x=408.944594, y=316.988651, z=-675.000000
  Landmark 5: x=491.275174, y=265.539663, z=-652.000000
  Landmark 6: x=494.479419, y=346.072039, z=-659.000000
  Landmark 7: x=498.810069, y=391.347150, z=-662.000000
  Landmark 8: x=506.478687, y=427.440958, z=-668.000000
  Landmark 9: x=535.711134, y=262.681908, z=-650.000000
  Landmark 10: x=552.542976, y=344.973801, z=-653.000000
  Landmark 11: x=569.176017, y=395.187604, z=-659.000000
  Landmark 12: x=583.914796, y=431.535830, z=-664.000000
  Landmark 13: x=572.178727, y=249.143642, z=-652.000000
  Landmark 14: x=597.560328, y=321.860514, z=-654.000000
  Landmark 15: x=614.748718, y=364.641331, z=-657.000000
  Landmark 16: x=633.723905, y=401.482094, z=-665.000000
  Landmark 17: x=601.215131, y=231.786927, z=-658.000000
  Landmark 18: x=642.231701, y=277.313906, z=-663.000000
  Landmark 19: x=668.151606, y=305.784354, z=-666.000000
  Landmark 20: x=686.945696, y=331.900190, z=-668.000000
Hand 1
  Landmark 0: x=103.255093, y=112.786479, z=-640.000000
  Landmark 1: x=62.048875, y=153.112454, z=-620.000000
  Landmark 2: x=57.179708, y=214.503228, z=-620.000000
  Landmark 3: x=102.798426, y=243.737920, z=-625.000000
  Landmark 4: x=149.790440, y=243.271359, z=-650.000000
  Landmark 5: x=74.239828, y=272.897987, z=-650.000000
  Landmark 6: x=66.352264, y=341.920388, z=-663.000000
  Landmark 7: x=67.596937, y=381.623609, z=-665.000000
  Landmark 8: x=69.790757, y=413.600133, z=-666.000000
  Landmark 9: x=114.057042, y=275.417045, z=-656.000000
  Landmark 10: x=119.462303, y=350.256708, z=-663.000000
  Landmark 11: x=125.141717, y=395.351457, z=-660.000000
  Landmark 12: x=131.162651, y=428.932295, z=-659.000000
  Landmark 13: x=146.911602, y=263.211783, z=-659.000000
  Landmark 14: x=160.317303, y=330.956376, z=-664.000000
  Landmark 15: x=165.532023, y=375.352508, z=-664.000000
  Landmark 16: x=169.703799, y=408.183644, z=-664.000000
  Landmark 17: x=178.505529, y=239.026197, z=-658.000000
  Landmark 18: x=202.643603, y=285.896006, z=-666.000000
  Landmark 19: x=214.793637, y=320.351306, z=-668.000000
  Landmark 20: x=223.855677, y=350.795617, z=-670.000000
