# Frame Index: 213
Hand 0
  Landmark 0: x=508.369727, y=117.815933, z=-640.000000
  Landmark 1: x=458.251252, y=164.028002, z=-661.000000
  Landmark 2: x=420.987993, y=215.567135, z=-659.000000
  Landmark 3: x=408.964081, y=273.360674, z=-663.000000
  Landmark 4: x=406.824151, y=323.325763, z=-675.000000
  Landmark 5: x=492.299269, y=269.638668, z=-652.000000
  Landmark 6: x=495.514510, y=350.215052, z=-659.000000
  Landmark 7: x=500.604932, y=396.106469, z=-663.000000
  Landmark 8: x=507.527913, y=432.690451, z=-668.000000
  Landmark 9: x=535.711134, y=266.768339, z=-650.000000
  Landmark 10: x=555.443611, y=349.613671, z=-654.000000
  Landmark 11: x=570.374906, y=400.782673, z=-657.000000
  Landmark 12: x=586.881400, y=439.491996, z=-664.000000
  Landmark 13: x=573.202823, y=252.217896, z=-652.000000
  Landmark 14: x=598.697960, y=324.447342, z=-654.000000
  Landmark 15: x=617.844565, y=368.771770, z=-657.000000
  Landmark 16: x=637.901963, y=406.708011, z=-666.000000
  Landmark 17: x=602.248651, y=233.882602, z=-658.000000
  Landmark 18: x=644.314448, y=280.440026, z=-663.000000
  Landmark 19: x=670.243776, y=308.924619, z=-666.000000
  Landmark 20: x=691.126450, y=335.551458, z=-669.000000
Hand 1
  Landmark 0: x=104.260341, y=113.792370, z=-640.000000
  Landmark 1: x=52.479286, y=146.763164, z=-623.000000
  Landmark 2: x=21.113769, y=204.428405, z=-619.000000
  Landmark 3: x=31.603108, y=255.436884, z=-615.000000
  Landmark 4: x=67.344359, y=274.635649, z=-615.000000
  Landmark 5: x=72.018779, y=269.024293, z=-622.000000
  Landmark 6: x=71.451199, y=348.687949, z=-662.000000
  Landmark 7: x=72.929013, y=389.524765, z=-666.000000
  Landmark 8: x=75.133828, y=421.559442, z=-667.000000
  Landmark 9: x=117.202513, y=287.300318, z=-662.000000
  Landmark 10: x=126.751916, y=359.092632, z=-663.000000
  Landmark 11: x=134.675412, y=402.183854, z=-661.000000
  Landmark 12: x=142.981268, y=435.428546, z=-661.000000
  Landmark 13: x=152.786249, y=275.229826, z=-663.000000
  Landmark 14: x=168.660855, y=339.305270, z=-664.000000
  Landmark 15: x=177.004407, y=378.962515, z=-664.000000
  Landmark 16: x=182.710077, y=410.075580, z=-662.000000
  Landmark 17: x=184.789682, y=248.802990, z=-662.000000
  Landmark 18: x=205.350596, y=295.153741, z=-668.000000
  Landmark 19: x=215.842864, y=324.550901, z=-668.000000
  Landmark 20: x=225.623159, y=352.374982, z=-669.000000
