# Frame Index: 224
Hand 0
  Landmark 0: x=508.369727, y=117.815933, z=-640.000000
  Landmark 1: x=457.200920, y=164.028002, z=-660.000000
  Landmark 2: x=420.349165, y=215.240023, z=-658.000000
  Landmark 3: x=408.768636, y=273.145746, z=-663.000000
  Landmark 4: x=406.675826, y=321.691388, z=-673.000000
  Landmark 5: x=491.544209, y=268.201932, z=-651.000000
  Landmark 6: x=495.514510, y=349.200127, z=-659.000000
  Landmark 7: x=499.849872, y=396.106469, z=-662.000000
  Landmark 8: x=507.527913, y=431.640552, z=-668.000000
  Landmark 9: x=536.535305, y=266.155573, z=-651.000000
  Landmark 10: x=553.745006, y=347.519765, z=-653.000000
  Landmark 11: x=571.243057, y=400.358511, z=-658.000000
  Landmark 12: x=586.881400, y=437.404772, z=-664.000000
  Landmark 13: x=572.323677, y=250.807879, z=-651.000000
  Landmark 14: x=599.614802, y=324.944198, z=-654.000000
  Landmark 15: x=618.784968, y=368.858609, z=-657.000000
  Landmark 16: x=636.857449, y=405.662828, z=-665.000000
  Landmark 17: x=602.248651, y=233.855290, z=-658.000000
  Landmark 18: x=644.314448, y=280.440026, z=-663.000000
  Landmark 19: x=669.237404, y=308.802422, z=-665.000000
  Landmark 20: x=691.126450, y=335.551458, z=-669.000000
Hand 1
  Landmark 0: x=101.770550, y=119.266022, z=-638.000000
  Landmark 1: x=43.967456, y=150.658640, z=-626.000000
  Landmark 2: x=10.738684, y=201.678541, z=-638.000000
  Landmark 3: x=-11.520327, y=249.652083, z=-650.000000
  Landmark 4: x=-35.026899, y=283.394063, z=-670.000000
  Landmark 5: x=75.955497, y=283.665350, z=-656.000000
  Landmark 6: x=66.352264, y=348.172628, z=-663.000000
  Landmark 7: x=64.463393, y=388.939893, z=-665.000000
  Landmark 8: x=64.754205, y=421.141567, z=-668.000000
  Landmark 9: x=118.063702, y=287.905226, z=-661.000000
  Landmark 10: x=124.669169, y=360.677108, z=-663.000000
  Landmark 11: x=130.522485, y=403.222751, z=-661.000000
  Landmark 12: x=136.751876, y=435.428546, z=-661.000000
  Landmark 13: x=152.555802, y=274.814698, z=-662.000000
  Landmark 14: x=164.489079, y=342.436105, z=-664.000000
  Landmark 15: x=169.448221, y=381.517909, z=-663.000000
  Landmark 16: x=172.312051, y=411.116048, z=-662.000000
  Landmark 17: x=182.158083, y=249.088645, z=-660.000000
  Landmark 18: x=204.735774, y=296.363558, z=-667.000000
  Landmark 19: x=216.892091, y=327.700596, z=-669.000000
  Landmark 20: x=225.623159, y=356.580863, z=-669.000000
