# Frame Index: 255
Hand 0
  Landmark 0: x=510.380222, y=114.798260, z=-640.000000
  Landmark 1: x=459.286342, y=160.916027, z=-660.000000
  Landmark 2: x=421.382685, y=212.137478, z=-658.000000
  Landmark 3: x=410.197759, y=270.194679, z=-663.000000
  Landmark 4: x=408.944594, y=319.101022, z=-675.000000
  Landmark 5: x=492.299269, y=265.539663, z=-652.000000
  Landmark 6: x=495.514510, y=347.107792, z=-659.000000
  Landmark 7: x=500.604932, y=394.022389, z=-663.000000
  Landmark 8: x=508.577140, y=430.590654, z=-668.000000
  Landmark 9: x=536.732089, y=262.681908, z=-650.000000
  Landmark 10: x=554.594308, y=346.000124, z=-653.000000
  Landmark 11: x=571.243057, y=397.859699, z=-658.000000
  Landmark 12: x=587.765258, y=435.973147, z=-665.000000
  Landmark 13: x=573.346202, y=248.761520, z=-651.000000
  Landmark 14: x=599.614802, y=322.888409, z=-654.000000
  Landmark 15: x=616.812616, y=365.751350, z=-658.000000
  Landmark 16: x=634.856824, y=402.085827, z=-665.000000
  Landmark 17: x=602.365329, y=231.454121, z=-657.000000
  Landmark 18: x=644.314448, y=278.355946, z=-663.000000
  Landmark 19: x=669.197691, y=306.831109, z=-666.000000
  Landmark 20: x=690.075652, y=333.448517, z=-669.000000
Hand 1
  Landmark 0: x=107.276082, y=117.815933, z=-640.000000
  Landmark 1: x=63.124357, y=156.287495, z=-621.000000
  Landmark 2: x=56.477839, y=220.514614, z=-623.000000
  Landmark 3: x=104.278257, y=251.817075, z=-628.000000
  Landmark 4: x=150.897995, y=244.820267, z=-646.000000
  Landmark 5: x=77.064836, y=272.058301, z=-648.000000
  Landmark 6: x=66.152107, y=340.888954, z=-661.000000
  Landmark 7: x=65.507907, y=383.819676, z=-665.000000
  Landmark 8: x=67.698586, y=416.740398, z=-666.000000
  Landmark 9: x=115.678429, y=273.498180, z=-649.000000
  Landmark 10: x=122.401526, y=351.809354, z=-662.000000
  Landmark 11: x=129.484253, y=398.028268, z=-661.000000
  Landmark 12: x=135.508329, y=432.695154, z=-660.000000
  Landmark 13: x=150.829371, y=264.247536, z=-659.000000
  Landmark 14: x=163.446135, y=331.999988, z=-664.000000
  Landmark 15: x=167.365475, y=377.349749, z=-663.000000
  Landmark 16: x=171.530968, y=411.737069, z=-663.000000
  Landmark 17: x=181.882086, y=242.496718, z=-659.000000
  Landmark 18: x=205.043185, y=288.421933, z=-667.000000
  Landmark 19: x=215.842864, y=322.451103, z=-668.000000
  Landmark 20: x=224.908045, y=353.954743, z=-670.000000
