# Frame Index: 63
Hand 0
  Landmark 0: x=502.195523, y=128.075227, z=-636.000000
  Landmark 1: x=453.421799, y=175.941126, z=-658.000000
  Landmark 2: x=415.812541, y=225.924667, z=-659.000000
  Landmark 3: x=398.108536, y=281.083645, z=-664.000000
  Landmark 4: x=389.283032, y=326.008465, z=-674.000000
  Landmark 5: x=496.549600, y=287.632728, z=-659.000000
  Landmark 6: x=498.810069, y=366.439175, z=-663.000000
  Landmark 7: x=501.359992, y=411.506623, z=-664.000000
  Landmark 8: x=505.720485, y=446.719286, z=-667.000000
  Landmark 9: x=540.860797, y=282.203467, z=-655.000000
  Landmark 10: x=560.408144, y=362.501845, z=-655.000000
  Landmark 11: x=577.286660, y=414.431751, z=-659.000000
  Landmark 12: x=592.245782, y=451.334590, z=-663.000000
  Landmark 13: x=575.107635, y=263.894286, z=-653.000000
  Landmark 14: x=609.588973, y=334.695646, z=-657.000000
  Landmark 15: x=631.111366, y=378.180388, z=-659.000000
  Landmark 16: x=651.543928, y=413.401702, z=-664.000000
  Landmark 17: x=603.163923, y=242.423826, z=-658.000000
  Landmark 18: x=649.458040, y=283.993848, z=-664.000000
  Landmark 19: x=678.612460, y=311.018130, z=-666.000000
  Landmark 20: x=701.632175, y=336.099785, z=-668.000000
Hand 1
  Landmark 0: x=103.093757, y=125.666398, z=-639.000000
  Landmark 1: x=50.687797, y=161.946225, z=-624.000000
  Landmark 2: x=16.462504, y=216.925039, z=-627.000000
  Landmark 3: x=-4.191973, y=266.458083, z=-623.000000
  Landmark 4: x=-20.039858, y=310.051867, z=-629.000000
  Landmark 5: x=84.326875, y=296.489084, z=-658.000000
  Landmark 6: x=89.262477, y=362.761188, z=-663.000000
  Landmark 7: x=93.709804, y=401.482094, z=-665.000000
  Landmark 8: x=96.988977, y=433.488481, z=-666.000000
  Landmark 9: x=123.254862, y=296.216399, z=-661.000000
  Landmark 10: x=134.041529, y=369.013428, z=-663.000000
  Landmark 11: x=140.265296, y=408.631963, z=-658.000000
  Landmark 12: x=143.960472, y=440.383140, z=-656.000000
  Landmark 13: x=156.715012, y=282.097977, z=-662.000000
  Landmark 14: x=170.746743, y=348.697775, z=-664.000000
  Landmark 15: x=176.974777, y=384.978208, z=-660.000000
  Landmark 16: x=177.691674, y=414.607187, z=-656.000000
  Landmark 17: x=188.092629, y=254.925757, z=-659.000000
  Landmark 18: x=208.920115, y=303.690844, z=-666.000000
  Landmark 19: x=218.662714, y=334.548314, z=-667.000000
  Landmark 20: x=223.599633, y=360.719940, z=-664.000000
