# Frame Index: 268
Hand 0
  Landmark 0: x=510.380222, y=113.792370, z=-640.000000
  Landmark 1: x=458.924402, y=159.878702, z=-660.000000
  Landmark 2: x=421.774234, y=212.459875, z=-659.000000
  Landmark 3: x=410.426848, y=269.612357, z=-662.000000
  Landmark 4: x=409.550438, y=320.050727, z=-674.000000
  Landmark 5: x=492.299269, y=265.539663, z=-652.000000
  Landmark 6: x=496.266429, y=347.634511, z=-660.000000
  Landmark 7: x=499.849872, y=392.387618, z=-662.000000
  Landmark 8: x=507.527913, y=429.540755, z=-668.000000
  Landmark 9: x=536.732089, y=262.681908, z=-650.000000
  Landmark 10: x=554.594308, y=346.000124, z=-653.000000
  Landmark 11: x=572.111207, y=397.859699, z=-659.000000
  Landmark 12: x=586.720743, y=435.973147, z=-665.000000
  Landmark 13: x=573.346202, y=248.761520, z=-651.000000
  Landmark 14: x=599.723626, y=321.368373, z=-653.000000
  Landmark 15: x=616.812616, y=365.751350, z=-657.000000
  Landmark 16: x=634.768419, y=402.527277, z=-665.000000
  Landmark 17: x=604.199013, y=231.103433, z=-659.000000
  Landmark 18: x=644.314448, y=277.313906, z=-663.000000
  Landmark 19: x=671.250148, y=307.291816, z=-667.000000
  Landmark 20: x=690.075652, y=333.448517, z=-669.000000
Hand 1
  Landmark 0: x=104.097434, y=117.631845, z=-639.000000
  Landmark 1: x=50.444106, y=153.359410, z=-621.000000
  Landmark 2: x=20.336739, y=205.427625, z=-625.000000
  Landmark 3: x=14.446618, y=258.472649, z=-625.000000
  Landmark 4: x=24.418772, y=301.137555, z=-630.000000
  Landmark 5: x=79.710804, y=281.341777, z=-653.000000
  Landmark 6: x=71.451199, y=346.607012, z=-662.000000
  Landmark 7: x=68.641451, y=386.849526, z=-666.000000
  Landmark 8: x=66.752580, y=419.041770, z=-667.000000
  Landmark 9: x=119.282118, y=285.219382, z=-662.000000
  Landmark 10: x=127.600539, y=356.508948, z=-663.000000
  Landmark 11: x=134.879157, y=400.711365, z=-662.000000
  Landmark 12: x=139.866572, y=435.428546, z=-661.000000
  Landmark 13: x=152.786249, y=271.061666, z=-663.000000
  Landmark 14: x=164.489079, y=338.261658, z=-664.000000
  Landmark 15: x=170.489595, y=379.433829, z=-663.000000
  Landmark 16: x=173.351854, y=412.156516, z=-662.000000
  Landmark 17: x=183.194744, y=243.902020, z=-660.000000
  Landmark 18: x=203.995529, y=293.663568, z=-667.000000
  Landmark 19: x=216.567402, y=325.600799, z=-668.000000
  Landmark 20: x=225.960414, y=356.060827, z=-670.000000
