# Frame Index: 314
Hand 0
  Landmark 0: x=510.170873, y=112.962708, z=-641.000000
  Landmark 1: x=457.216161, y=157.564956, z=-659.000000
  Landmark 2: x=420.349165, y=209.581305, z=-659.000000
  Landmark 3: x=409.580920, y=267.698615, z=-664.000000
  Landmark 4: x=408.488646, y=316.281978, z=-675.000000
  Landmark 5: x=488.202887, y=264.514911, z=-652.000000
  Landmark 6: x=492.865420, y=346.083437, z=-661.000000
  Landmark 7: x=496.730464, y=390.442244, z=-662.000000
  Landmark 8: x=505.429460, y=426.391059, z=-668.000000
  Landmark 9: x=532.648272, y=261.660300, z=-650.000000
  Landmark 10: x=550.491643, y=344.973801, z=-653.000000
  Landmark 11: x=566.247110, y=394.587015, z=-657.000000
  Landmark 12: x=582.709624, y=432.186713, z=-664.000000
  Landmark 13: x=570.130536, y=248.118891, z=-652.000000
  Landmark 14: x=595.505854, y=321.860514, z=-653.000000
  Landmark 15: x=612.684820, y=365.673940, z=-657.000000
  Landmark 16: x=630.685048, y=400.878362, z=-665.000000
  Landmark 17: x=600.058651, y=230.752745, z=-659.000000
  Landmark 18: x=640.148954, y=277.313906, z=-663.000000
  Landmark 19: x=666.059435, y=306.110291, z=-666.000000
  Landmark 20: x=685.872462, y=332.397047, z=-669.000000
Hand 1
  Landmark 0: x=95.064345, y=111.605931, z=-639.000000
  Landmark 1: x=39.714663, y=144.575154, z=-621.000000
  Landmark 2: x=6.645869, y=201.130004, z=-629.000000
  Landmark 3: x=-8.210246, y=253.020023, z=-631.000000
  Landmark 4: x=-22.855827, y=300.381206, z=-653.000000
  Landmark 5: x=71.395971, y=275.787175, z=-652.000000
  Landmark 6: x=67.291988, y=343.485607, z=-662.000000
  Landmark 7: x=68.744672, y=383.244234, z=-666.000000
  Landmark 8: x=71.882928, y=413.600133, z=-667.000000
  Landmark 9: x=111.665121, y=279.171067, z=-660.000000
  Landmark 10: x=120.503676, y=353.382828, z=-663.000000
  Landmark 11: x=128.446021, y=394.911578, z=-661.000000
  Landmark 12: x=136.544990, y=427.508529, z=-661.000000
  Landmark 13: x=145.277183, y=266.490952, z=-662.000000
  Landmark 14: x=158.469716, y=334.590354, z=-665.000000
  Landmark 15: x=165.282728, y=373.262141, z=-663.000000
  Landmark 16: x=169.192643, y=403.832770, z=-662.000000
  Landmark 17: x=176.204689, y=241.154879, z=-661.000000
  Landmark 18: x=199.804904, y=287.373607, z=-667.000000
  Landmark 19: x=212.695183, y=318.251509, z=-668.000000
  Landmark 20: x=222.470767, y=347.117630, z=-670.000000
