# Frame Index: 264
Hand 0
  Landmark 0: x=510.380222, y=114.798260, z=-640.000000
  Landmark 1: x=459.286342, y=160.916027, z=-660.000000
  Landmark 2: x=422.096248, y=212.523721, z=-659.000000
  Landmark 3: x=410.426848, y=269.788982, z=-662.000000
  Landmark 4: x=409.397401, y=320.050727, z=-674.000000
  Landmark 5: x=491.544209, y=266.155573, z=-651.000000
  Landmark 6: x=495.514510, y=347.107792, z=-659.000000
  Landmark 7: x=500.133043, y=391.794888, z=-661.000000
  Landmark 8: x=507.527913, y=429.540755, z=-668.000000
  Landmark 9: x=536.732089, y=262.681908, z=-650.000000
  Landmark 10: x=554.594308, y=346.000124, z=-653.000000
  Landmark 11: x=571.243057, y=397.255967, z=-658.000000
  Landmark 12: x=585.838456, y=435.317549, z=-664.000000
  Landmark 13: x=573.346202, y=248.761520, z=-651.000000
  Landmark 14: x=599.614802, y=321.860514, z=-654.000000
  Landmark 15: x=616.812616, y=365.751350, z=-657.000000
  Landmark 16: x=634.768419, y=402.527277, z=-666.000000
  Landmark 17: x=603.282171, y=230.765913, z=-659.000000
  Landmark 18: x=643.273074, y=278.355946, z=-663.000000
  Landmark 19: x=669.197691, y=306.831109, z=-666.000000
  Landmark 20: x=687.994922, y=332.950089, z=-668.000000
Hand 1
  Landmark 0: x=104.260341, y=112.786479, z=-640.000000
  Landmark 1: x=53.456260, y=147.740765, z=-621.000000
  Landmark 2: x=26.017044, y=207.682031, z=-620.000000
  Landmark 3: x=45.273579, y=252.254974, z=-617.000000
  Landmark 4: x=86.255360, y=259.882852, z=-620.000000
  Landmark 5: x=73.060851, y=266.030382, z=-622.000000
  Landmark 6: x=69.266802, y=345.044540, z=-661.000000
  Landmark 7: x=68.641451, y=384.759159, z=-665.000000
  Landmark 8: x=68.847892, y=418.414462, z=-667.000000
  Landmark 9: x=116.098951, y=280.936265, z=-650.000000
  Landmark 10: x=125.710543, y=359.635068, z=-663.000000
  Landmark 11: x=132.598949, y=403.222751, z=-661.000000
  Landmark 12: x=139.866572, y=436.467442, z=-661.000000
  Landmark 13: x=151.973751, y=274.601343, z=-663.000000
  Landmark 14: x=165.781319, y=339.816272, z=-665.000000
  Landmark 15: x=171.530968, y=379.433829, z=-663.000000
  Landmark 16: x=175.431459, y=409.035112, z=-662.000000
  Landmark 17: x=181.395848, y=246.349362, z=-661.000000
  Landmark 18: x=203.252142, y=293.053944, z=-667.000000
  Landmark 19: x=214.793637, y=322.451103, z=-668.000000
  Landmark 20: x=224.908045, y=349.742575, z=-670.000000
