# Frame Index: 82
Hand 0
  Landmark 0: x=503.985674, y=127.275428, z=-637.000000
  Landmark 1: x=455.836642, y=174.401251, z=-660.000000
  Landmark 2: x=418.917812, y=223.853161, z=-659.000000
  Landmark 3: x=402.539244, y=280.240816, z=-663.000000
  Landmark 4: x=395.047943, y=326.980174, z=-673.000000
  Landmark 5: x=496.829631, y=285.564365, z=-658.000000
  Landmark 6: x=497.770266, y=363.803228, z=-663.000000
  Landmark 7: x=500.317048, y=408.366357, z=-664.000000
  Landmark 8: x=505.720485, y=443.574306, z=-667.000000
  Landmark 9: x=540.860797, y=281.174000, z=-655.000000
  Landmark 10: x=559.202972, y=360.993207, z=-656.000000
  Landmark 11: x=576.251569, y=411.324491, z=-659.000000
  Landmark 12: x=591.204409, y=447.166430, z=-663.000000
  Landmark 13: x=574.961114, y=264.298412, z=-654.000000
  Landmark 14: x=608.449770, y=334.170895, z=-658.000000
  Landmark 15: x=629.041185, y=377.250335, z=-659.000000
  Landmark 16: x=649.391625, y=411.933928, z=-665.000000
  Landmark 17: x=603.163923, y=242.496718, z=-659.000000
  Landmark 18: x=648.415096, y=285.037460, z=-664.000000
  Landmark 19: x=676.520289, y=312.064885, z=-666.000000
  Landmark 20: x=700.583627, y=336.602928, z=-669.000000
Hand 1
  Landmark 0: x=106.436883, y=119.007483, z=-641.000000
  Landmark 1: x=65.389538, y=159.984738, z=-623.000000
  Landmark 2: x=65.179956, y=225.948776, z=-622.000000
  Landmark 3: x=109.558054, y=256.579735, z=-630.000000
  Landmark 4: x=155.247027, y=240.651513, z=-644.000000
  Landmark 5: x=85.864802, y=286.473392, z=-653.000000
  Landmark 6: x=93.287053, y=353.915834, z=-662.000000
  Landmark 7: x=101.325231, y=395.351271, z=-667.000000
  Landmark 8: x=110.588088, y=425.114440, z=-666.000000
  Landmark 9: x=122.412714, y=286.162986, z=-657.000000
  Landmark 10: x=130.719947, y=359.092632, z=-662.000000
  Landmark 11: x=136.338104, y=403.038465, z=-659.000000
  Landmark 12: x=143.960472, y=435.227949, z=-656.000000
  Landmark 13: x=154.168230, y=271.909793, z=-660.000000
  Landmark 14: x=165.532023, y=339.305270, z=-664.000000
  Landmark 15: x=168.406848, y=382.559949, z=-663.000000
  Landmark 16: x=171.013529, y=413.196985, z=-661.000000
  Landmark 17: x=184.706648, y=246.265468, z=-658.000000
  Landmark 18: x=208.920115, y=295.316803, z=-666.000000
  Landmark 19: x=221.088998, y=328.750495, z=-668.000000
  Landmark 20: x=229.139275, y=356.563178, z=-667.000000
