# Frame Index: 171
Hand 0
  Landmark 0: x=510.380222, y=123.851278, z=-640.000000
  Landmark 1: x=457.909964, y=163.237633, z=-659.000000
  Landmark 2: x=422.416204, y=215.240023, z=-655.000000
  Landmark 3: x=410.426848, y=273.774230, z=-660.000000
  Landmark 4: x=404.104146, y=325.347371, z=-672.000000
  Landmark 5: x=493.054329, y=274.157516, z=-653.000000
  Landmark 6: x=497.303090, y=354.895785, z=-659.000000
  Landmark 7: x=500.604932, y=401.482094, z=-662.000000
  Landmark 8: x=505.429460, y=437.939943, z=-668.000000
  Landmark 9: x=538.383572, y=270.663419, z=-651.000000
  Landmark 10: x=555.443611, y=353.236647, z=-654.000000
  Landmark 11: x=571.243057, y=403.461056, z=-658.000000
  Landmark 12: x=584.956169, y=441.579219, z=-663.000000
  Landmark 13: x=574.226919, y=255.292150, z=-651.000000
  Landmark 14: x=600.642039, y=328.027882, z=-654.000000
  Landmark 15: x=621.795552, y=373.001622, z=-658.000000
  Landmark 16: x=639.990993, y=408.183644, z=-664.000000
  Landmark 17: x=604.199013, y=236.282199, z=-657.000000
  Landmark 18: x=644.314448, y=280.440026, z=-662.000000
  Landmark 19: x=671.289862, y=309.971375, z=-665.000000
  Landmark 20: x=691.126450, y=335.551458, z=-669.000000
Hand 1
  Landmark 0: x=105.938739, y=128.477980, z=-636.000000
  Landmark 1: x=50.525337, y=154.832493, z=-622.000000
  Landmark 2: x=19.633765, y=211.375165, z=-631.000000
  Landmark 3: x=2.734636, y=260.457934, z=-640.000000
  Landmark 4: x=-16.932023, y=299.801469, z=-654.000000
  Landmark 5: x=82.012557, y=287.350799, z=-653.000000
  Landmark 6: x=90.303850, y=352.340788, z=-662.000000
  Landmark 7: x=96.988977, y=391.618275, z=-666.000000
  Landmark 8: x=104.311575, y=421.974174, z=-665.000000
  Landmark 9: x=119.101934, y=289.983020, z=-660.000000
  Landmark 10: x=127.600539, y=358.052164, z=-662.000000
  Landmark 11: x=135.508329, y=400.538082, z=-659.000000
  Landmark 12: x=142.332336, y=433.452319, z=-657.000000
  Landmark 13: x=152.555802, y=275.855167, z=-661.000000
  Landmark 14: x=162.403191, y=343.479717, z=-664.000000
  Landmark 15: x=168.152841, y=381.982935, z=-661.000000
  Landmark 16: x=171.791471, y=411.948656, z=-660.000000
  Landmark 17: x=183.472312, y=250.504948, z=-660.000000
  Landmark 18: x=207.138497, y=298.905202, z=-667.000000
  Landmark 19: x=218.990544, y=330.850292, z=-667.000000
  Landmark 20: x=227.384358, y=360.247451, z=-667.000000
