# Frame Index: 320
Hand 0
  Landmark 0: x=510.170873, y=116.992558, z=-640.000000
  Landmark 1: x=458.251252, y=156.201310, z=-658.000000
  Landmark 2: x=421.774234, y=208.316863, z=-656.000000
  Landmark 3: x=410.005454, y=266.893506, z=-661.000000
  Landmark 4: x=409.683035, y=317.098274, z=-669.000000
  Landmark 5: x=488.202887, y=266.564414, z=-651.000000
  Landmark 6: x=493.444329, y=345.036286, z=-659.000000
  Landmark 7: x=498.810069, y=390.306682, z=-661.000000
  Landmark 8: x=505.429460, y=426.391059, z=-668.000000
  Landmark 9: x=532.445206, y=262.681908, z=-650.000000
  Landmark 10: x=549.465977, y=344.973801, z=-653.000000
  Landmark 11: x=565.041938, y=396.221785, z=-657.000000
  Landmark 12: x=580.623736, y=434.273937, z=-663.000000
  Landmark 13: x=567.211053, y=248.761520, z=-651.000000
  Landmark 14: x=592.543962, y=321.368373, z=-652.000000
  Landmark 15: x=612.583849, y=366.230522, z=-657.000000
  Landmark 16: x=630.590360, y=403.572461, z=-664.000000
  Landmark 17: x=596.173634, y=229.369447, z=-655.000000
  Landmark 18: x=640.148954, y=276.271866, z=-661.000000
  Landmark 19: x=666.059435, y=304.737599, z=-665.000000
  Landmark 20: x=684.847242, y=331.900190, z=-668.000000
Hand 1
  Landmark 0: x=94.060668, y=114.618888, z=-637.000000
  Landmark 1: x=37.946289, y=142.331354, z=-623.000000
  Landmark 2: x=3.706433, y=196.738080, z=-632.000000
  Landmark 3: x=-17.510313, y=245.578225, z=-643.000000
  Landmark 4: x=-38.943563, y=281.496620, z=-658.000000
  Landmark 5: x=67.609249, y=277.056135, z=-653.000000
  Landmark 6: x=66.252186, y=342.445139, z=-661.000000
  Landmark 7: x=67.698586, y=383.244234, z=-665.000000
  Landmark 8: x=69.895548, y=415.269481, z=-667.000000
  Landmark 9: x=107.681383, y=280.632950, z=-661.000000
  Landmark 10: x=116.338183, y=350.768886, z=-662.000000
  Landmark 11: x=124.105055, y=393.276807, z=-660.000000
  Landmark 12: x=132.598949, y=427.117373, z=-661.000000
  Landmark 13: x=141.544311, y=268.339672, z=-662.000000
  Landmark 14: x=153.016695, y=335.130823, z=-663.000000
  Landmark 15: x=160.075862, y=374.223629, z=-663.000000
  Landmark 16: x=165.822370, y=404.261647, z=-661.000000
  Landmark 17: x=171.791471, y=240.790045, z=-659.000000
  Landmark 18: x=197.709592, y=287.804452, z=-667.000000
  Landmark 19: x=211.962792, y=318.727934, z=-669.000000
  Landmark 20: x=221.419969, y=347.117630, z=-668.000000
