# Frame Index: 66
Hand 0
  Landmark 0: x=503.985674, y=129.074831, z=-636.000000
  Landmark 1: x=455.825880, y=171.025824, z=-659.000000
  Landmark 2: x=419.553499, y=221.445112, z=-655.000000
  Landmark 3: x=402.280312, y=277.936103, z=-661.000000
  Landmark 4: x=390.438175, y=326.406700, z=-671.000000
  Landmark 5: x=496.829631, y=287.632728, z=-657.000000
  Landmark 6: x=500.604932, y=365.887308, z=-662.000000
  Landmark 7: x=500.889674, y=411.314479, z=-662.000000
  Landmark 8: x=506.768141, y=446.719286, z=-666.000000
  Landmark 9: x=539.831989, y=282.203467, z=-655.000000
  Landmark 10: x=560.055415, y=362.576111, z=-656.000000
  Landmark 11: x=576.089342, y=414.023305, z=-659.000000
  Landmark 12: x=591.204409, y=452.376630, z=-663.000000
  Landmark 13: x=574.961114, y=264.298412, z=-653.000000
  Landmark 14: x=608.557023, y=334.170895, z=-657.000000
  Landmark 15: x=631.111366, y=378.180388, z=-658.000000
  Landmark 16: x=651.543928, y=414.445314, z=-664.000000
  Landmark 17: x=602.248651, y=241.094560, z=-656.000000
  Landmark 18: x=650.436140, y=284.421550, z=-664.000000
  Landmark 19: x=677.566374, y=309.971375, z=-666.000000
  Landmark 20: x=700.583627, y=335.551458, z=-668.000000
Hand 1
  Landmark 0: x=107.276082, y=132.904295, z=-637.000000
  Landmark 1: x=57.456384, y=160.707524, z=-622.000000
  Landmark 2: x=27.034411, y=216.801258, z=-619.000000
  Landmark 3: x=21.800590, y=265.166910, z=-610.000000
  Landmark 4: x=24.720073, y=308.499988, z=-609.000000
  Landmark 5: x=86.522266, y=294.423864, z=-656.000000
  Landmark 6: x=91.482999, y=361.221116, z=-663.000000
  Landmark 7: x=96.697719, y=398.791138, z=-664.000000
  Landmark 8: x=101.912439, y=431.143102, z=-663.000000
  Landmark 9: x=124.105055, y=294.730941, z=-660.000000
  Landmark 10: x=133.839355, y=365.335442, z=-662.000000
  Landmark 11: x=140.478466, y=408.217231, z=-658.000000
  Landmark 12: x=147.051607, y=441.414178, z=-655.000000
  Landmark 13: x=157.754815, y=281.057508, z=-661.000000
  Landmark 14: x=169.703799, y=347.654163, z=-664.000000
  Landmark 15: x=174.636452, y=384.394908, z=-659.000000
  Landmark 16: x=176.662867, y=414.206601, z=-655.000000
  Landmark 17: x=188.092629, y=252.854250, z=-658.000000
  Landmark 18: x=209.966201, y=301.597333, z=-665.000000
  Landmark 19: x=220.427055, y=332.999988, z=-665.000000
  Landmark 20: x=226.022776, y=361.221116, z=-663.000000
