# Frame Index: 217
Hand 0
  Landmark 0: x=510.170873, y=121.022408, z=-640.000000
  Landmark 1: x=458.257767, y=162.444120, z=-658.000000
  Landmark 2: x=422.265650, y=213.171660, z=-655.000000
  Landmark 3: x=409.806867, y=270.426896, z=-659.000000
  Landmark 4: x=406.221448, y=322.647381, z=-672.000000
  Landmark 5: x=494.079996, y=272.104870, z=-652.000000
  Landmark 6: x=497.584691, y=351.250805, z=-659.000000
  Landmark 7: x=502.687678, y=397.148509, z=-662.000000
  Landmark 8: x=508.577140, y=433.740349, z=-667.000000
  Landmark 9: x=537.557830, y=268.201932, z=-650.000000
  Landmark 10: x=553.568642, y=348.052770, z=-653.000000
  Landmark 11: x=570.209537, y=400.358511, z=-657.000000
  Landmark 12: x=586.720743, y=440.153881, z=-664.000000
  Landmark 13: x=573.202823, y=253.242647, z=-651.000000
  Landmark 14: x=599.614802, y=323.916304, z=-653.000000
  Landmark 15: x=619.818488, y=368.381009, z=-657.000000
  Landmark 16: x=639.907300, y=406.272847, z=-664.000000
  Landmark 17: x=602.248651, y=232.821108, z=-656.000000
  Landmark 18: x=645.286264, y=277.732178, z=-662.000000
  Landmark 19: x=670.243776, y=306.831109, z=-665.000000
  Landmark 20: x=690.093376, y=332.950089, z=-667.000000
Hand 1
  Landmark 0: x=104.607678, y=128.075227, z=-634.000000
  Landmark 1: x=54.258209, y=150.919729, z=-619.000000
  Landmark 2: x=21.113769, y=205.401290, z=-619.000000
  Landmark 3: x=19.978812, y=255.853584, z=-613.000000
  Landmark 4: x=42.503545, y=291.516349, z=-615.000000
  Landmark 5: x=76.751162, y=281.772622, z=-653.000000
  Landmark 6: x=69.266802, y=345.044540, z=-660.000000
  Landmark 7: x=67.698586, y=386.384499, z=-665.000000
  Landmark 8: x=67.800236, y=420.511115, z=-666.000000
  Landmark 9: x=118.242316, y=287.300318, z=-662.000000
  Landmark 10: x=126.560737, y=357.550988, z=-662.000000
  Landmark 11: x=130.522485, y=401.144957, z=-660.000000
  Landmark 12: x=135.713644, y=435.703990, z=-661.000000
  Landmark 13: x=152.786249, y=274.187786, z=-662.000000
  Landmark 14: x=166.574967, y=339.816272, z=-664.000000
  Landmark 15: x=173.875575, y=380.006127, z=-664.000000
  Landmark 16: x=178.550867, y=411.737069, z=-662.000000
  Landmark 17: x=183.194744, y=247.013995, z=-659.000000
  Landmark 18: x=206.399823, y=296.203640, z=-667.000000
  Landmark 19: x=217.941317, y=326.650698, z=-668.000000
  Landmark 20: x=225.623159, y=355.529392, z=-669.000000
