# Frame Index: 242
Hand 0
  Landmark 0: x=511.385469, y=118.821824, z=-640.000000
  Landmark 1: x=460.337373, y=158.841377, z=-658.000000
  Landmark 2: x=423.193021, y=210.461645, z=-654.000000
  Landmark 3: x=410.845099, y=269.205087, z=-660.000000
  Landmark 4: x=407.884372, y=321.586480, z=-673.000000
  Landmark 5: x=494.347460, y=269.638668, z=-651.000000
  Landmark 6: x=498.619781, y=350.215052, z=-659.000000
  Landmark 7: x=501.929477, y=397.148509, z=-662.000000
  Landmark 8: x=506.478687, y=433.338191, z=-668.000000
  Landmark 9: x=537.753043, y=265.746732, z=-649.000000
  Landmark 10: x=554.594308, y=348.052770, z=-652.000000
  Landmark 11: x=570.209537, y=400.358511, z=-657.000000
  Landmark 12: x=584.795512, y=437.404772, z=-663.000000
  Landmark 13: x=575.251014, y=251.193145, z=-651.000000
  Landmark 14: x=599.614802, y=323.916304, z=-652.000000
  Landmark 15: x=618.784968, y=368.298885, z=-657.000000
  Landmark 16: x=636.857449, y=403.572461, z=-664.000000
  Landmark 17: x=606.152517, y=232.491446, z=-658.000000
  Landmark 18: x=645.286264, y=277.732178, z=-662.000000
  Landmark 19: x=669.197691, y=306.831109, z=-664.000000
  Landmark 20: x=686.945696, y=332.950089, z=-667.000000
Hand 1
  Landmark 0: x=101.451019, y=124.879754, z=-633.000000
  Landmark 1: x=60.198146, y=159.215580, z=-619.000000
  Landmark 2: x=48.415209, y=215.477685, z=-619.000000
  Landmark 3: x=91.411072, y=249.986225, z=-621.000000
  Landmark 4: x=137.218759, y=259.205274, z=-632.000000
  Landmark 5: x=74.125612, y=270.438071, z=-645.000000
  Landmark 6: x=67.190339, y=340.888954, z=-660.000000
  Landmark 7: x=66.552422, y=384.759159, z=-664.000000
  Landmark 8: x=67.800236, y=419.462788, z=-666.000000
  Landmark 9: x=112.302318, y=270.711338, z=-630.000000
  Landmark 10: x=123.627796, y=352.340788, z=-662.000000
  Landmark 11: x=129.484253, y=399.067164, z=-661.000000
  Landmark 12: x=135.508329, y=433.732479, z=-660.000000
  Landmark 13: x=142.344162, y=257.618050, z=-634.000000
  Landmark 14: x=163.692289, y=337.725905, z=-665.000000
  Landmark 15: x=167.365475, y=380.475869, z=-662.000000
  Landmark 16: x=171.272249, y=412.156516, z=-661.000000
  Landmark 17: x=177.741724, y=244.568225, z=-658.000000
  Landmark 18: x=205.043185, y=292.615241, z=-666.000000
  Landmark 19: x=217.216779, y=326.088225, z=-668.000000
  Landmark 20: x=226.673957, y=353.426452, z=-669.000000
