# Frame Index: 298
Hand 0
  Landmark 0: x=508.369727, y=114.798260, z=-640.000000
  Landmark 1: x=459.297570, y=156.201310, z=-659.000000
  Landmark 2: x=423.193021, y=208.717251, z=-655.000000
  Landmark 3: x=411.046828, y=266.007659, z=-661.000000
  Landmark 4: x=408.789987, y=318.044836, z=-672.000000
  Landmark 5: x=492.566734, y=266.155573, z=-651.000000
  Landmark 6: x=497.584691, y=345.036286, z=-658.000000
  Landmark 7: x=501.929477, y=390.755991, z=-661.000000
  Landmark 8: x=508.577140, y=427.440958, z=-667.000000
  Landmark 9: x=537.557830, y=263.086034, z=-650.000000
  Landmark 10: x=552.542976, y=343.947478, z=-653.000000
  Landmark 11: x=567.279059, y=395.187604, z=-657.000000
  Landmark 12: x=582.709624, y=434.273937, z=-663.000000
  Landmark 13: x=573.202823, y=248.761520, z=-651.000000
  Landmark 14: x=597.560328, y=320.832620, z=-653.000000
  Landmark 15: x=616.717928, y=365.196340, z=-657.000000
  Landmark 16: x=636.769044, y=403.132582, z=-663.000000
  Landmark 17: x=603.163923, y=230.067680, z=-656.000000
  Landmark 18: x=644.169052, y=275.014899, z=-663.000000
  Landmark 19: x=669.154836, y=304.146836, z=-666.000000
  Landmark 20: x=687.974057, y=331.345577, z=-668.000000
Hand 1
  Landmark 0: x=109.457337, y=124.044795, z=-638.000000
  Landmark 1: x=63.996541, y=154.086911, z=-619.000000
  Landmark 2: x=60.004271, y=213.184371, z=-618.000000
  Landmark 3: x=107.879190, y=243.144014, z=-625.000000
  Landmark 4: x=155.133511, y=240.576083, z=-645.000000
  Landmark 5: x=76.164379, y=274.518216, z=-648.000000
  Landmark 6: x=68.228571, y=341.404671, z=-661.000000
  Landmark 7: x=66.652501, y=383.244234, z=-665.000000
  Landmark 8: x=66.652501, y=413.600133, z=-665.000000
  Landmark 9: x=116.494341, y=279.359276, z=-655.000000
  Landmark 10: x=120.503676, y=352.340788, z=-662.000000
  Landmark 11: x=125.331325, y=395.950474, z=-660.000000
  Landmark 12: x=129.930098, y=429.315593, z=-658.000000
  Landmark 13: x=148.984924, y=267.760493, z=-659.000000
  Landmark 14: x=161.360247, y=334.087211, z=-664.000000
  Landmark 15: x=165.532023, y=377.918904, z=-664.000000
  Landmark 16: x=169.703799, y=411.314479, z=-663.000000
  Landmark 17: x=179.811905, y=243.532472, z=-659.000000
  Landmark 18: x=204.301369, y=290.954147, z=-667.000000
  Landmark 19: x=214.793637, y=323.501002, z=-668.000000
  Landmark 20: x=222.470767, y=352.374982, z=-669.000000
