# Frame Index: 59
Hand 0
  Landmark 0: x=504.986209, y=128.276603, z=-637.000000
  Landmark 1: x=455.111891, y=170.251952, z=-658.000000
  Landmark 2: x=418.041129, y=221.803064, z=-654.000000
  Landmark 3: x=400.893598, y=277.096417, z=-659.000000
  Landmark 4: x=388.604258, y=324.864660, z=-667.000000
  Landmark 5: x=498.138469, y=287.195596, z=-657.000000
  Landmark 6: x=501.929477, y=365.335442, z=-662.000000
  Landmark 7: x=502.687678, y=411.737069, z=-662.000000
  Landmark 8: x=507.815797, y=447.767613, z=-667.000000
  Landmark 9: x=541.062292, y=281.772622, z=-653.000000
  Landmark 10: x=560.408144, y=361.472379, z=-655.000000
  Landmark 11: x=575.377136, y=413.802871, z=-657.000000
  Landmark 12: x=591.204409, y=453.418670, z=-662.000000
  Landmark 13: x=575.251014, y=263.490160, z=-651.000000
  Landmark 14: x=611.550329, y=334.170895, z=-657.000000
  Landmark 15: x=632.146457, y=377.144635, z=-658.000000
  Landmark 16: x=652.586872, y=414.445314, z=-664.000000
  Landmark 17: x=603.282171, y=242.128742, z=-657.000000
  Landmark 18: x=648.479941, y=283.566147, z=-663.000000
  Landmark 19: x=678.612460, y=311.018130, z=-665.000000
  Landmark 20: x=700.584519, y=336.099785, z=-667.000000
Hand 1
  Landmark 0: x=106.104787, y=128.679356, z=-637.000000
  Landmark 1: x=50.850258, y=158.529736, z=-625.000000
  Landmark 2: x=15.675158, y=211.708564, z=-633.000000
  Landmark 3: x=-9.347179, y=259.244974, z=-638.000000
  Landmark 4: x=-32.381649, y=298.905202, z=-652.000000
  Landmark 5: x=84.326875, y=293.391255, z=-656.000000
  Landmark 6: x=89.262477, y=358.593028, z=-662.000000
  Landmark 7: x=92.665290, y=398.346544, z=-665.000000
  Landmark 8: x=96.988977, y=431.394970, z=-665.000000
  Landmark 9: x=123.254862, y=295.177503, z=-660.000000
  Landmark 10: x=131.958782, y=365.887308, z=-662.000000
  Landmark 11: x=138.198257, y=406.563600, z=-658.000000
  Landmark 12: x=143.741020, y=439.711824, z=-655.000000
  Landmark 13: x=157.516514, y=280.632950, z=-660.000000
  Landmark 14: x=168.406848, y=348.172628, z=-663.000000
  Landmark 15: x=173.074499, y=384.845789, z=-657.000000
  Landmark 16: x=177.691674, y=412.945698, z=-655.000000
  Landmark 17: x=186.773688, y=252.470557, z=-656.000000
  Landmark 18: x=209.966201, y=303.690844, z=-666.000000
  Landmark 19: x=220.096083, y=334.087211, z=-664.000000
  Landmark 20: x=226.381787, y=362.214037, z=-662.000000
