# Frame Index: 110
Hand 0
  Landmark 0: x=508.579076, y=126.670717, z=-639.000000
  Landmark 1: x=457.908626, y=167.393219, z=-658.000000
  Landmark 2: x=422.023084, y=218.010739, z=-655.000000
  Landmark 3: x=407.307440, y=275.855167, z=-660.000000
  Landmark 4: x=399.869542, y=325.347371, z=-672.000000
  Landmark 5: x=495.319510, y=280.572235, z=-655.000000
  Landmark 6: x=499.094811, y=360.627989, z=-660.000000
  Landmark 7: x=501.646305, y=406.526869, z=-662.000000
  Landmark 8: x=507.236888, y=443.852893, z=-668.000000
  Landmark 9: x=539.209314, y=276.210162, z=-652.000000
  Landmark 10: x=557.498085, y=356.808934, z=-654.000000
  Landmark 11: x=573.470754, y=407.597782, z=-657.000000
  Landmark 12: x=589.121663, y=445.082350, z=-662.000000
  Landmark 13: x=575.107635, y=260.815317, z=-653.000000
  Landmark 14: x=603.618067, y=331.617853, z=-654.000000
  Landmark 15: x=624.986087, y=375.538155, z=-657.000000
  Landmark 16: x=645.213566, y=410.888745, z=-663.000000
  Landmark 17: x=603.282171, y=239.026197, z=-656.000000
  Landmark 18: x=647.372152, y=283.993848, z=-662.000000
  Landmark 19: x=674.428118, y=311.018130, z=-664.000000
  Landmark 20: x=694.290283, y=336.099785, z=-667.000000
Hand 1
  Landmark 0: x=105.772690, y=128.276603, z=-636.000000
  Landmark 1: x=49.548362, y=156.539166, z=-621.000000
  Landmark 2: x=16.593784, y=209.715049, z=-630.000000
  Landmark 3: x=0.717626, y=259.837891, z=-637.000000
  Landmark 4: x=-14.605625, y=302.430708, z=-647.000000
  Landmark 5: x=83.168146, y=288.820540, z=-654.000000
  Landmark 6: x=92.525943, y=354.959446, z=-663.000000
  Landmark 7: x=98.932378, y=393.120627, z=-665.000000
  Landmark 8: x=106.243981, y=423.430946, z=-664.000000
  Landmark 9: x=120.140166, y=291.021916, z=-660.000000
  Landmark 10: x=129.680144, y=359.092632, z=-662.000000
  Landmark 11: x=137.373194, y=401.392693, z=-658.000000
  Landmark 12: x=144.399376, y=436.554864, z=-657.000000
  Landmark 13: x=153.595604, y=276.895635, z=-660.000000
  Landmark 14: x=163.446135, y=343.479717, z=-663.000000
  Landmark 15: x=169.718149, y=380.828908, z=-659.000000
  Landmark 16: x=175.138397, y=410.076162, z=-657.000000
  Landmark 17: x=184.231405, y=249.088645, z=-658.000000
  Landmark 18: x=207.138497, y=298.905202, z=-666.000000
  Landmark 19: x=218.334884, y=329.859722, z=-665.000000
  Landmark 20: x=227.407686, y=358.629573, z=-664.000000
