# Frame Index: 100
Hand 0
  Landmark 0: x=505.986744, y=127.475232, z=-637.000000
  Landmark 1: x=457.217965, y=169.727398, z=-659.000000
  Landmark 2: x=420.987993, y=219.043349, z=-655.000000
  Landmark 3: x=405.227835, y=276.895635, z=-660.000000
  Landmark 4: x=395.747137, y=327.466028, z=-672.000000
  Landmark 5: x=496.829631, y=283.496002, z=-656.000000
  Landmark 6: x=500.604932, y=362.761188, z=-662.000000
  Landmark 7: x=502.687678, y=407.568909, z=-663.000000
  Landmark 8: x=506.768141, y=443.574306, z=-667.000000
  Landmark 9: x=539.831989, y=279.115068, z=-654.000000
  Landmark 10: x=559.023466, y=359.478282, z=-656.000000
  Landmark 11: x=573.310096, y=409.666145, z=-658.000000
  Landmark 12: x=590.010232, y=448.884501, z=-663.000000
  Landmark 13: x=574.081968, y=261.841640, z=-652.000000
  Landmark 14: x=605.570000, y=332.124140, z=-654.000000
  Landmark 15: x=624.986087, y=375.538155, z=-656.000000
  Landmark 16: x=645.213566, y=411.933928, z=-664.000000
  Landmark 17: x=602.248651, y=241.094560, z=-655.000000
  Landmark 18: x=647.372152, y=283.993848, z=-663.000000
  Landmark 19: x=675.474203, y=311.018130, z=-665.000000
  Landmark 20: x=696.388737, y=336.099785, z=-666.000000
Hand 1
  Landmark 0: x=104.097434, y=128.679356, z=-637.000000
  Landmark 1: x=49.707681, y=159.984738, z=-623.000000
  Landmark 2: x=20.564510, y=216.668270, z=-631.000000
  Landmark 3: x=9.690795, y=268.596405, z=-634.000000
  Landmark 4: x=3.782313, y=315.892741, z=-641.000000
  Landmark 5: x=86.390774, y=293.391255, z=-656.000000
  Landmark 6: x=96.697719, y=359.133892, z=-663.000000
  Landmark 7: x=105.357661, y=397.898806, z=-665.000000
  Landmark 8: x=114.772429, y=428.254705, z=-665.000000
  Landmark 9: x=122.401526, y=293.543128, z=-660.000000
  Landmark 10: x=131.759750, y=362.214037, z=-662.000000
  Landmark 11: x=138.618312, y=405.724706, z=-660.000000
  Landmark 12: x=145.653918, y=438.254074, z=-658.000000
  Landmark 13: x=154.635407, y=278.976572, z=-661.000000
  Landmark 14: x=166.324101, y=346.610552, z=-663.000000
  Landmark 15: x=171.791471, y=383.940883, z=-660.000000
  Landmark 16: x=175.404970, y=413.802871, z=-657.000000
  Landmark 17: x=185.268067, y=252.200619, z=-659.000000
  Landmark 18: x=209.233809, y=301.001855, z=-666.000000
  Landmark 19: x=220.758026, y=332.451661, z=-667.000000
  Landmark 20: x=227.407686, y=359.674757, z=-665.000000
