# Frame Index: 221
Hand 0
  Landmark 0: x=104.607678, y=127.075623, z=-634.000000
  Landmark 1: x=50.525337, y=153.606365, z=-621.000000
  Landmark 2: x=17.502985, y=204.765158, z=-627.000000
  Landmark 3: x=0.709753, y=255.003514, z=-631.000000
  Landmark 4: x=-9.463836, y=304.649163, z=-639.000000
  Landmark 5: x=75.723925, y=282.800516, z=-653.000000
  Landmark 6: x=68.228571, y=347.122333, z=-660.000000
  Landmark 7: x=65.507907, y=388.478010, z=-665.000000
  Landmark 8: x=64.754205, y=421.141567, z=-667.000000
  Landmark 9: x=117.202513, y=289.818387, z=-662.000000
  Landmark 10: x=125.710543, y=360.677108, z=-662.000000
  Landmark 11: x=131.560717, y=402.183854, z=-661.000000
  Landmark 12: x=136.544990, y=435.807128, z=-660.000000
  Landmark 13: x=151.744875, y=276.271866, z=-662.000000
  Landmark 14: x=163.446135, y=341.392493, z=-664.000000
  Landmark 15: x=169.703799, y=381.049739, z=-664.000000
  Landmark 16: x=173.351854, y=412.156516, z=-662.000000
  Landmark 17: x=181.121422, y=248.051320, z=-659.000000
  Landmark 18: x=203.995529, y=295.760221, z=-667.000000
  Landmark 19: x=215.842864, y=327.700596, z=-668.000000
  Landmark 20: x=225.623159, y=357.632333, z=-669.000000
Hand 1
  Landmark 0: x=509.164055, y=122.029870, z=-640.000000
  Landmark 1: x=458.245435, y=162.444120, z=-658.000000
  Landmark 2: x=422.416204, y=213.554759, z=-654.000000
  Landmark 3: x=410.845099, y=271.282881, z=-660.000000
  Landmark 4: x=406.675826, y=323.325763, z=-672.000000
  Landmark 5: x=493.054329, y=271.078547, z=-652.000000
  Landmark 6: x=498.339751, y=351.783811, z=-659.000000
  Landmark 7: x=501.646305, y=397.747526, z=-662.000000
  Landmark 8: x=506.478687, y=433.740349, z=-667.000000
  Landmark 9: x=537.557830, y=267.178752, z=-650.000000
  Landmark 10: x=554.594308, y=348.585776, z=-653.000000
  Landmark 11: x=570.209537, y=401.392693, z=-658.000000
  Landmark 12: x=584.956169, y=438.448384, z=-663.000000
  Landmark 13: x=573.346202, y=251.831059, z=-651.000000
  Landmark 14: x=599.614802, y=324.944198, z=-653.000000
  Landmark 15: x=618.876515, y=368.858609, z=-657.000000
  Landmark 16: x=637.901963, y=406.272847, z=-664.000000
  Landmark 17: x=602.248651, y=231.759614, z=-655.000000
  Landmark 18: x=644.169052, y=277.521965, z=-662.000000
  Landmark 19: x=668.192890, y=306.370402, z=-664.000000
  Landmark 20: x=689.024855, y=333.448517, z=-668.000000
