# Frame Index: 261
Hand 0
  Landmark 0: x=509.374974, y=119.007483, z=-640.000000
  Landmark 1: x=459.641999, y=159.082046, z=-658.000000
  Landmark 2: x=424.093265, y=209.749861, z=-654.000000
  Landmark 3: x=410.426848, y=267.531420, z=-660.000000
  Landmark 4: x=408.488646, y=319.937960, z=-674.000000
  Landmark 5: x=494.611784, y=267.999578, z=-651.000000
  Landmark 6: x=498.619781, y=347.634511, z=-658.000000
  Landmark 7: x=501.929477, y=393.428087, z=-661.000000
  Landmark 8: x=508.577140, y=430.590654, z=-667.000000
  Landmark 9: x=537.753043, y=263.703516, z=-649.000000
  Landmark 10: x=553.568642, y=344.973801, z=-653.000000
  Landmark 11: x=570.209537, y=397.255967, z=-657.000000
  Landmark 12: x=585.838456, y=436.361160, z=-662.000000
  Landmark 13: x=574.226919, y=249.143642, z=-651.000000
  Landmark 14: x=598.587565, y=321.860514, z=-652.000000
  Landmark 15: x=617.751448, y=366.306359, z=-657.000000
  Landmark 16: x=635.812934, y=403.572461, z=-663.000000
  Landmark 17: x=604.199013, y=229.031927, z=-656.000000
  Landmark 18: x=644.169052, y=275.644954, z=-662.000000
  Landmark 19: x=669.197691, y=304.737599, z=-664.000000
  Landmark 20: x=687.974057, y=332.397047, z=-667.000000
Hand 1
  Landmark 0: x=101.451019, y=125.877787, z=-633.000000
  Landmark 1: x=58.153542, y=157.010281, z=-618.000000
  Landmark 2: x=40.559020, y=212.211485, z=-618.000000
  Landmark 3: x=75.560472, y=246.262462, z=-617.000000
  Landmark 4: x=119.263848, y=253.421005, z=-625.000000
  Landmark 5: x=72.761040, y=262.251608, z=-618.000000
  Landmark 6: x=68.125350, y=341.410562, z=-660.000000
  Landmark 7: x=67.596937, y=384.759159, z=-664.000000
  Landmark 8: x=68.744672, y=417.787154, z=-666.000000
  Landmark 9: x=116.317298, y=279.886180, z=-642.000000
  Landmark 10: x=124.481131, y=354.930759, z=-662.000000
  Landmark 11: x=130.522485, y=400.106061, z=-661.000000
  Landmark 12: x=137.790108, y=434.389649, z=-660.000000
  Landmark 13: x=150.703502, y=271.693293, z=-658.000000
  Landmark 14: x=164.736804, y=337.218046, z=-664.000000
  Landmark 15: x=168.660855, y=380.006127, z=-664.000000
  Landmark 16: x=173.351854, y=411.116048, z=-661.000000
  Landmark 17: x=180.084761, y=245.976670, z=-660.000000
  Landmark 18: x=205.043185, y=293.053944, z=-667.000000
  Landmark 19: x=215.842864, y=324.550901, z=-668.000000
  Landmark 20: x=225.623159, y=351.848659, z=-669.000000
