# Frame Index: 318
Hand 0
  Landmark 0: x=509.164055, y=116.992558, z=-640.000000
  Landmark 1: x=456.867253, y=157.241778, z=-658.000000
  Landmark 2: x=421.382685, y=209.034934, z=-655.000000
  Landmark 3: x=410.197759, y=266.893506, z=-662.000000
  Landmark 4: x=409.847067, y=317.460360, z=-670.000000
  Landmark 5: x=488.202887, y=265.539663, z=-651.000000
  Landmark 6: x=493.444329, y=345.036286, z=-659.000000
  Landmark 7: x=497.770266, y=391.347150, z=-661.000000
  Landmark 8: x=505.429460, y=427.440958, z=-667.000000
  Landmark 9: x=530.606363, y=261.660300, z=-649.000000
  Landmark 10: x=549.465977, y=343.947478, z=-652.000000
  Landmark 11: x=565.215161, y=395.619624, z=-656.000000
  Landmark 12: x=581.666680, y=434.273937, z=-663.000000
  Landmark 13: x=567.211053, y=247.738340, z=-651.000000
  Landmark 14: x=593.451380, y=320.832620, z=-653.000000
  Landmark 15: x=611.652871, y=365.751350, z=-656.000000
  Landmark 16: x=630.590360, y=403.572461, z=-664.000000
  Landmark 17: x=599.023561, y=230.067680, z=-657.000000
  Landmark 18: x=640.071544, y=276.688566, z=-663.000000
  Landmark 19: x=664.014831, y=305.325218, z=-664.000000
  Landmark 20: x=684.821665, y=332.397047, z=-668.000000
Hand 1
  Landmark 0: x=93.913469, y=117.447758, z=-636.000000
  Landmark 1: x=37.885477, y=146.254328, z=-622.000000
  Landmark 2: x=3.712270, y=201.046320, z=-633.000000
  Landmark 3: x=-15.412093, y=248.349523, z=-641.000000
  Landmark 4: x=-37.785066, y=285.998353, z=-657.000000
  Landmark 5: x=67.609249, y=279.115068, z=-654.000000
  Landmark 6: x=65.212383, y=343.485607, z=-661.000000
  Landmark 7: x=66.652501, y=384.290989, z=-666.000000
  Landmark 8: x=69.895548, y=415.269481, z=-667.000000
  Landmark 9: x=107.681383, y=281.671847, z=-661.000000
  Landmark 10: x=117.202513, y=351.809354, z=-662.000000
  Landmark 11: x=124.293093, y=393.872681, z=-660.000000
  Landmark 12: x=132.598949, y=427.117373, z=-660.000000
  Landmark 13: x=142.372516, y=268.977586, z=-662.000000
  Landmark 14: x=154.059639, y=335.130823, z=-662.000000
  Landmark 15: x=161.117235, y=374.223629, z=-663.000000
  Landmark 16: x=165.822370, y=404.261647, z=-660.000000
  Landmark 17: x=171.791471, y=241.827370, z=-660.000000
  Landmark 18: x=198.006008, y=288.854350, z=-667.000000
  Landmark 19: x=211.645957, y=319.301408, z=-668.000000
  Landmark 20: x=221.750941, y=348.689533, z=-669.000000
