# Frame Index: 314
Hand 0
  Landmark 0: x=508.157237, y=116.992558, z=-640.000000
  Landmark 1: x=456.522358, y=157.004253, z=-658.000000
  Landmark 2: x=421.626822, y=208.000752, z=-656.000000
  Landmark 3: x=410.623864, y=265.208837, z=-662.000000
  Landmark 4: x=409.550438, y=316.516942, z=-671.000000
  Landmark 5: x=488.202887, y=267.589165, z=-651.000000
  Landmark 6: x=495.229767, y=345.559861, z=-659.000000
  Landmark 7: x=499.849872, y=390.306682, z=-661.000000
  Landmark 8: x=508.287686, y=427.029369, z=-667.000000
  Landmark 9: x=531.627318, y=262.681908, z=-650.000000
  Landmark 10: x=549.465977, y=343.947478, z=-653.000000
  Landmark 11: x=565.215161, y=394.587015, z=-657.000000
  Landmark 12: x=580.623736, y=434.273937, z=-663.000000
  Landmark 13: x=568.082345, y=249.143642, z=-651.000000
  Landmark 14: x=593.569628, y=320.342050, z=-652.000000
  Landmark 15: x=612.684820, y=364.641331, z=-656.000000
  Landmark 16: x=631.634875, y=403.572461, z=-664.000000
  Landmark 17: x=596.173634, y=229.369447, z=-655.000000
  Landmark 18: x=639.107581, y=275.229826, z=-662.000000
  Landmark 19: x=665.013349, y=305.058820, z=-665.000000
  Landmark 20: x=684.821665, y=331.345577, z=-667.000000
Hand 1
  Landmark 0: x=96.919786, y=118.450505, z=-635.000000
  Landmark 1: x=41.598376, y=146.291257, z=-619.000000
  Landmark 2: x=8.611259, y=202.787954, z=-627.000000
  Landmark 3: x=-6.228024, y=252.028277, z=-630.000000
  Landmark 4: x=-20.581475, y=297.416575, z=-640.000000
  Landmark 5: x=69.454141, y=277.236485, z=-651.000000
  Landmark 6: x=66.252186, y=341.404671, z=-661.000000
  Landmark 7: x=67.698586, y=382.197479, z=-665.000000
  Landmark 8: x=70.836842, y=413.600133, z=-666.000000
  Landmark 9: x=109.591799, y=281.245717, z=-659.000000
  Landmark 10: x=119.282118, y=352.340788, z=-662.000000
  Landmark 11: x=126.369557, y=393.872681, z=-660.000000
  Landmark 12: x=134.675412, y=427.117373, z=-660.000000
  Landmark 13: x=144.455262, y=267.935546, z=-662.000000
  Landmark 14: x=156.380686, y=334.590354, z=-664.000000
  Landmark 15: x=163.199982, y=373.181589, z=-663.000000
  Landmark 16: x=168.152841, y=403.832770, z=-661.000000
  Landmark 17: x=175.166457, y=241.154879, z=-660.000000
  Landmark 18: x=198.757248, y=288.421933, z=-667.000000
  Landmark 19: x=211.645957, y=319.301408, z=-667.000000
  Landmark 20: x=221.419969, y=347.117630, z=-669.000000
