# Frame Index: 202
Hand 0
  Landmark 0: x=509.374974, y=121.839496, z=-639.000000
  Landmark 1: x=457.565535, y=162.198736, z=-658.000000
  Landmark 2: x=422.416204, y=213.171660, z=-655.000000
  Landmark 3: x=409.387045, y=271.879348, z=-660.000000
  Landmark 4: x=404.241476, y=323.228713, z=-673.000000
  Landmark 5: x=493.589259, y=272.104870, z=-651.000000
  Landmark 6: x=497.584691, y=351.250805, z=-659.000000
  Landmark 7: x=501.929477, y=398.190549, z=-661.000000
  Landmark 8: x=507.527913, y=434.790248, z=-667.000000
  Landmark 9: x=536.732089, y=267.789947, z=-650.000000
  Landmark 10: x=554.594308, y=349.079093, z=-653.000000
  Landmark 11: x=571.243057, y=401.392693, z=-658.000000
  Landmark 12: x=586.881400, y=439.491996, z=-663.000000
  Landmark 13: x=574.226919, y=254.267399, z=-651.000000
  Landmark 14: x=599.723626, y=324.447342, z=-652.000000
  Landmark 15: x=620.760461, y=369.894363, z=-657.000000
  Landmark 16: x=639.907300, y=406.272847, z=-664.000000
  Landmark 17: x=602.248651, y=233.882602, z=-657.000000
  Landmark 18: x=646.258081, y=280.240816, z=-663.000000
  Landmark 19: x=669.237404, y=307.415585, z=-664.000000
  Landmark 20: x=689.044149, y=333.999987, z=-667.000000
Hand 1
  Landmark 0: x=107.108463, y=120.644803, z=-636.000000
  Landmark 1: x=62.048875, y=154.086911, z=-618.000000
  Landmark 2: x=55.053874, y=215.753909, z=-617.000000
  Landmark 3: x=98.238900, y=248.034168, z=-620.000000
  Landmark 4: x=145.020866, y=238.895523, z=-636.000000
  Landmark 5: x=85.338831, y=279.618397, z=-647.000000
  Landmark 6: x=90.031441, y=348.687949, z=-661.000000
  Landmark 7: x=96.843348, y=389.524765, z=-665.000000
  Landmark 8: x=105.515855, y=421.559442, z=-667.000000
  Landmark 9: x=122.788790, y=281.341777, z=-642.000000
  Landmark 10: x=129.680144, y=354.930759, z=-662.000000
  Landmark 11: x=136.751876, y=400.106061, z=-660.000000
  Landmark 12: x=143.583737, y=435.146815, z=-659.000000
  Landmark 13: x=154.168230, y=269.835143, z=-657.000000
  Landmark 14: x=166.574967, y=336.174434, z=-664.000000
  Landmark 15: x=171.530968, y=379.433829, z=-662.000000
  Landmark 16: x=176.471262, y=411.116048, z=-661.000000
  Landmark 17: x=183.194744, y=243.902020, z=-659.000000
  Landmark 18: x=207.138497, y=292.615241, z=-666.000000
  Landmark 19: x=216.892091, y=326.650698, z=-668.000000
  Landmark 20: x=224.572362, y=354.477922, z=-668.000000
