# Frame Index: 252
Hand 0
  Landmark 0: x=511.177691, y=118.000020, z=-640.000000
  Landmark 1: x=459.642232, y=159.082046, z=-658.000000
  Landmark 2: x=423.838133, y=210.782471, z=-655.000000
  Landmark 3: x=411.046828, y=268.339672, z=-661.000000
  Landmark 4: x=406.824151, y=320.525580, z=-673.000000
  Landmark 5: x=493.323365, y=268.613916, z=-651.000000
  Landmark 6: x=497.584691, y=350.215052, z=-658.000000
  Landmark 7: x=500.889674, y=396.549492, z=-662.000000
  Landmark 8: x=506.478687, y=432.932889, z=-667.000000
  Landmark 9: x=537.753043, y=265.746732, z=-649.000000
  Landmark 10: x=554.594308, y=347.026447, z=-653.000000
  Landmark 11: x=569.176017, y=399.324330, z=-658.000000
  Landmark 12: x=583.752568, y=437.404772, z=-664.000000
  Landmark 13: x=574.368727, y=250.807879, z=-650.000000
  Landmark 14: x=598.697960, y=324.447342, z=-652.000000
  Landmark 15: x=617.844565, y=368.858609, z=-656.000000
  Landmark 16: x=636.857449, y=405.662828, z=-664.000000
  Landmark 17: x=604.315691, y=230.765913, z=-657.000000
  Landmark 18: x=644.314448, y=277.313906, z=-662.000000
  Landmark 19: x=669.197691, y=306.831109, z=-664.000000
  Landmark 20: x=686.945696, y=332.950089, z=-667.000000
Hand 1
  Landmark 0: x=111.470973, y=124.044795, z=-638.000000
  Landmark 1: x=66.810109, y=156.757039, z=-617.000000
  Landmark 2: x=61.075041, y=219.375512, z=-619.000000
  Landmark 3: x=111.006006, y=250.430634, z=-626.000000
  Landmark 4: x=162.259559, y=248.231076, z=-648.000000
  Landmark 5: x=78.203147, y=273.498180, z=-648.000000
  Landmark 6: x=67.190339, y=340.888954, z=-660.000000
  Landmark 7: x=64.560330, y=384.290989, z=-664.000000
  Landmark 8: x=63.609611, y=417.366135, z=-665.000000
  Landmark 9: x=117.050328, y=274.941202, z=-641.000000
  Landmark 10: x=123.441329, y=352.849822, z=-662.000000
  Landmark 11: x=129.484253, y=399.067164, z=-660.000000
  Landmark 12: x=136.544990, y=432.695154, z=-659.000000
  Landmark 13: x=151.058247, y=265.685843, z=-655.000000
  Landmark 14: x=163.446135, y=334.087211, z=-664.000000
  Landmark 15: x=168.406848, y=378.391789, z=-663.000000
  Landmark 16: x=173.613715, y=411.737069, z=-663.000000
  Landmark 17: x=181.882086, y=242.496718, z=-658.000000
  Landmark 18: x=206.090841, y=290.518587, z=-667.000000
  Landmark 19: x=216.567402, y=324.550901, z=-667.000000
  Landmark 20: x=225.960414, y=355.007785, z=-669.000000
