# Frame Index: 94
Hand 0
  Landmark 0: x=505.778966, y=127.475232, z=-637.000000
  Landmark 1: x=457.216161, y=170.767867, z=-658.000000
  Landmark 2: x=420.101886, y=221.445112, z=-655.000000
  Landmark 3: x=404.188032, y=277.936103, z=-661.000000
  Landmark 4: x=396.221934, y=327.550505, z=-672.000000
  Landmark 5: x=497.106520, y=283.065157, z=-656.000000
  Landmark 6: x=499.849872, y=361.173569, z=-662.000000
  Landmark 7: x=503.445880, y=408.183644, z=-663.000000
  Landmark 8: x=506.768141, y=442.525979, z=-667.000000
  Landmark 9: x=540.860797, y=279.115068, z=-655.000000
  Landmark 10: x=559.023466, y=359.478282, z=-656.000000
  Landmark 11: x=573.310096, y=409.666145, z=-657.000000
  Landmark 12: x=589.121663, y=448.208470, z=-662.000000
  Landmark 13: x=574.961114, y=262.242623, z=-653.000000
  Landmark 14: x=605.570000, y=332.124140, z=-655.000000
  Landmark 15: x=624.986087, y=375.538155, z=-657.000000
  Landmark 16: x=645.286264, y=411.314479, z=-663.000000
  Landmark 17: x=603.163923, y=240.425212, z=-655.000000
  Landmark 18: x=648.415096, y=283.993848, z=-663.000000
  Landmark 19: x=676.520289, y=311.018130, z=-665.000000
  Landmark 20: x=698.487190, y=337.149683, z=-667.000000
Hand 1
  Landmark 0: x=102.609749, y=133.073247, z=-634.000000
  Landmark 1: x=54.433235, y=161.427167, z=-621.000000
  Landmark 2: x=27.208546, y=216.233093, z=-625.000000
  Landmark 3: x=29.078569, y=265.478912, z=-621.000000
  Landmark 4: x=51.929216, y=313.402789, z=-627.000000
  Landmark 5: x=87.289659, y=290.882616, z=-654.000000
  Landmark 6: x=97.593463, y=357.046669, z=-663.000000
  Landmark 7: x=106.403746, y=396.852051, z=-665.000000
  Landmark 8: x=114.772429, y=428.254705, z=-665.000000
  Landmark 9: x=124.293093, y=291.021916, z=-661.000000
  Landmark 10: x=133.000156, y=361.719148, z=-662.000000
  Landmark 11: x=139.654974, y=404.687381, z=-660.000000
  Landmark 12: x=145.653918, y=438.254074, z=-658.000000
  Landmark 13: x=155.675210, y=275.855167, z=-661.000000
  Landmark 14: x=167.870348, y=343.997005, z=-664.000000
  Landmark 15: x=172.312051, y=384.063872, z=-661.000000
  Landmark 16: x=175.671543, y=414.431751, z=-658.000000
  Landmark 17: x=186.022448, y=247.675484, z=-658.000000
  Landmark 18: x=208.920115, y=297.410313, z=-666.000000
  Landmark 19: x=220.758026, y=330.355007, z=-667.000000
  Landmark 20: x=228.091619, y=359.708159, z=-667.000000
