# Frame Index: 291
Hand 0
  Landmark 0: x=510.095142, y=112.700769, z=-639.948195
  Landmark 1: x=459.315576, y=159.878629, z=-660.216201
  Landmark 2: x=421.761002, y=212.459585, z=-659.221112
  Landmark 3: x=410.439655, y=270.019504, z=-663.012106
  Landmark 4: x=410.031677, y=318.991431, z=-674.426260
  Landmark 5: x=492.106967, y=264.198122, z=-651.688081
  Landmark 6: x=495.807578, y=346.327984, z=-659.514218
  Landmark 7: x=500.456641, y=392.372900, z=-662.536939
  Landmark 8: x=507.836268, y=428.639031, z=-668.267155
  Landmark 9: x=536.042025, y=260.758090, z=-649.483100
  Landmark 10: x=554.495018, y=344.625489, z=-653.035757
  Landmark 11: x=570.881363, y=395.898048, z=-657.992832
  Landmark 12: x=585.906161, y=433.969147, z=-664.084120
  Landmark 13: x=573.022139, y=247.204421, z=-651.389075
  Landmark 14: x=599.415868, y=321.198264, z=-653.906062
  Landmark 15: x=616.443488, y=365.360574, z=-657.503246
  Landmark 16: x=633.679595, y=401.655781, z=-664.737280
  Landmark 17: x=603.801188, y=229.853002, z=-658.792480
  Landmark 18: x=644.059537, y=277.037520, z=-663.356784
  Landmark 19: x=669.017094, y=306.325737, z=-666.101734
  Landmark 20: x=688.247904, y=332.699786, z=-668.612735
  Landmark 21: x=510.095142, y=-187.299231, z=-639.948195
Hand 1
  Landmark 0: x=102.332987, y=115.356873, z=-639.361748
  Landmark 1: x=48.162940, y=148.718143, z=-623.511632
  Landmark 2: x=23.456780, y=208.992628, z=-629.653965
  Landmark 3: x=83.612026, y=240.228151, z=-633.116771
  Landmark 4: x=128.306681, y=277.845546, z=-644.977585
  Landmark 5: x=75.579851, y=278.914758, z=-654.258658
  Landmark 6: x=65.840738, y=344.985360, z=-662.407878
  Landmark 7: x=63.453347, y=385.520541, z=-665.765978
  Landmark 8: x=62.884388, y=417.394904, z=-666.994257
  Landmark 9: x=116.438596, y=281.726667, z=-660.738927
  Landmark 10: x=123.554277, y=356.933086, z=-662.898711
  Landmark 11: x=130.325727, y=400.111933, z=-660.809005
  Landmark 12: x=136.739644, y=433.363680, z=-660.705437
  Landmark 13: x=149.908548, y=269.710224, z=-662.789280
  Landmark 14: x=162.771358, y=338.810981, z=-663.972777
  Landmark 15: x=168.105802, y=379.288237, z=-662.903927
  Landmark 16: x=171.434052, y=409.927329, z=-661.289047
  Landmark 17: x=180.381409, y=245.027848, z=-659.929792
  Landmark 18: x=203.927783, y=293.011625, z=-667.676769
  Landmark 19: x=215.912501, y=323.900655, z=-668.192690
  Landmark 20: x=225.075327, y=352.359702, z=-669.374896
  Landmark 21: x=102.332987, y=-184.643127, z=-639.361748
