# Frame Index: 284
Hand 0
  Landmark 0: x=510.104105, y=112.994612, z=-639.892284
  Landmark 1: x=459.328459, y=159.878702, z=-660.265622
  Landmark 2: x=422.034780, y=212.459637, z=-659.080105
  Landmark 3: x=411.041980, y=269.147924, z=-662.727943
  Landmark 4: x=409.830995, y=319.100880, z=-674.387851
  Landmark 5: x=492.160797, y=264.431140, z=-651.692724
  Landmark 6: x=495.934832, y=346.542681, z=-659.528121
  Landmark 7: x=500.482248, y=392.484306, z=-662.440159
  Landmark 8: x=507.884370, y=428.908578, z=-668.170298
  Landmark 9: x=536.099222, y=261.089173, z=-649.481100
  Landmark 10: x=554.393117, y=344.713585, z=-652.916900
  Landmark 11: x=570.909517, y=396.224221, z=-657.829747
  Landmark 12: x=586.062416, y=434.244833, z=-663.990529
  Landmark 13: x=573.064333, y=247.463975, z=-651.213127
  Landmark 14: x=599.511312, y=321.281838, z=-653.795274
  Landmark 15: x=616.730172, y=365.371891, z=-657.530110
  Landmark 16: x=633.975936, y=401.696183, z=-664.934424
  Landmark 17: x=603.702534, y=230.165589, z=-658.523764
  Landmark 18: x=644.174766, y=277.090556, z=-663.364512
  Landmark 19: x=668.889241, y=306.353354, z=-665.958626
  Landmark 20: x=688.458358, y=332.795976, z=-668.694790
  Landmark 21: x=510.104105, y=-187.005388, z=-639.892284
Hand 1
  Landmark 0: x=102.583382, y=117.713927, z=-638.727049
  Landmark 1: x=45.878573, y=149.196631, z=-624.896192
  Landmark 2: x=6.428811, y=204.748851, z=-637.117340
  Landmark 3: x=-6.334962, y=256.829514, z=-647.396396
  Landmark 4: x=-24.789079, y=300.824400, z=-666.776798
  Landmark 5: x=76.268424, y=279.919184, z=-654.827816
  Landmark 6: x=65.340466, y=346.307295, z=-662.505792
  Landmark 7: x=62.593232, y=386.600962, z=-665.769861
  Landmark 8: x=61.854519, y=418.212302, z=-666.866225
  Landmark 9: x=117.079604, y=283.908119, z=-661.707658
  Landmark 10: x=123.844249, y=357.714080, z=-662.718650
  Landmark 11: x=130.452979, y=400.687073, z=-660.807957
  Landmark 12: x=136.991158, y=433.917731, z=-660.324745
  Landmark 13: x=151.041555, y=271.799364, z=-662.115924
  Landmark 14: x=163.254430, y=339.480165, z=-663.913729
  Landmark 15: x=168.389259, y=379.785874, z=-662.531104
  Landmark 16: x=171.958581, y=410.674439, z=-661.225021
  Landmark 17: x=181.183549, y=246.123252, z=-660.150655
  Landmark 18: x=204.648489, y=293.968538, z=-667.390370
  Landmark 19: x=216.767819, y=325.328644, z=-668.236364
  Landmark 20: x=225.730127, y=354.211047, z=-669.467035
  Landmark 21: x=102.583382, y=-182.286073, z=-638.727049
