# Frame Index: 231
Hand 0
  Landmark 0: x=508.994881, y=116.901299, z=-639.949930
  Landmark 1: x=457.884495, y=162.743796, z=-660.045182
  Landmark 2: x=420.473754, y=214.205841, z=-658.125464
  Landmark 3: x=410.036980, y=271.241748, z=-662.786861
  Landmark 4: x=408.394068, y=321.110056, z=-673.914184
  Landmark 5: x=491.632516, y=268.107684, z=-651.824351
  Landmark 6: x=495.980700, y=348.888771, z=-659.312627
  Landmark 7: x=500.563141, y=395.092130, z=-662.268686
  Landmark 8: x=507.764347, y=431.351127, z=-667.600407
  Landmark 9: x=535.880801, y=264.949872, z=-650.199205
  Landmark 10: x=554.497289, y=347.941684, z=-653.207694
  Landmark 11: x=570.723462, y=399.451997, z=-657.920133
  Landmark 12: x=586.444271, y=437.238534, z=-664.014334
  Landmark 13: x=573.056826, y=251.019968, z=-651.806236
  Landmark 14: x=599.066183, y=324.204697, z=-653.780248
  Landmark 15: x=617.799502, y=368.414416, z=-657.495208
  Landmark 16: x=635.983655, y=405.092862, z=-665.059861
  Landmark 17: x=602.032229, y=233.035602, z=-657.673816
  Landmark 18: x=643.436166, y=279.687145, z=-662.881962
  Landmark 19: x=669.124955, y=308.426193, z=-665.624973
  Landmark 20: x=689.868374, y=334.783735, z=-668.896199
  Landmark 21: x=508.994881, y=-183.098701, z=-639.949930
Hand 1
  Landmark 0: x=103.185607, y=117.344661, z=-638.932647
  Landmark 1: x=45.644121, y=150.417971, z=-624.698213
  Landmark 2: x=4.243657, y=201.362430, z=-634.815189
  Landmark 3: x=-14.517756, y=249.784660, z=-641.743465
  Landmark 4: x=-38.700772, y=286.598021, z=-658.667590
  Landmark 5: x=76.507681, y=279.525265, z=-654.817107
  Landmark 6: x=69.940627, y=347.056550, z=-661.650954
  Landmark 7: x=69.515040, y=388.090884, z=-665.287693
  Landmark 8: x=70.917891, y=420.384420, z=-667.048838
  Landmark 9: x=118.453659, y=286.431356, z=-661.989863
  Landmark 10: x=125.825490, y=359.388413, z=-662.559009
  Landmark 11: x=132.588945, y=402.446129, z=-661.181841
  Landmark 12: x=139.317968, y=435.401077, z=-661.282844
  Landmark 13: x=152.714202, y=274.277006, z=-662.727290
  Landmark 14: x=165.767378, y=340.375132, z=-664.199436
  Landmark 15: x=172.015459, y=380.455801, z=-663.601336
  Landmark 16: x=176.434921, y=411.582437, z=-662.512833
  Landmark 17: x=182.630615, y=247.789155, z=-659.951259
  Landmark 18: x=205.119922, y=294.887041, z=-667.099478
  Landmark 19: x=216.734450, y=325.843031, z=-668.522191
  Landmark 20: x=225.865603, y=354.731519, z=-669.603648
  Landmark 21: x=103.185607, y=-182.655339, z=-638.932647
