# Frame Index: 285
Hand 0
  Landmark 0: x=510.134244, y=113.008157, z=-639.901500
  Landmark 1: x=459.365761, y=160.120870, z=-660.356007
  Landmark 2: x=422.014956, y=212.459875, z=-659.085648
  Landmark 3: x=410.853007, y=270.019365, z=-662.763187
  Landmark 4: x=409.434104, y=318.991431, z=-674.341980
  Landmark 5: x=492.130285, y=264.438473, z=-651.626020
  Landmark 6: x=495.954458, y=346.601118, z=-659.578486
  Landmark 7: x=500.488221, y=392.497797, z=-662.500460
  Landmark 8: x=507.864821, y=428.846838, z=-668.162017
  Landmark 9: x=536.184719, y=261.115896, z=-649.616999
  Landmark 10: x=554.401745, y=344.687060, z=-652.922609
  Landmark 11: x=570.928267, y=396.179270, z=-657.844397
  Landmark 12: x=586.139572, y=434.307041, z=-664.169764
  Landmark 13: x=573.129632, y=247.463437, z=-651.281986
  Landmark 14: x=599.520280, y=321.284729, z=-653.813670
  Landmark 15: x=616.719892, y=365.358096, z=-657.488835
  Landmark 16: x=633.929345, y=401.670724, z=-664.945198
  Landmark 17: x=603.753765, y=230.114029, z=-658.583957
  Landmark 18: x=644.248908, y=277.107172, z=-663.433075
  Landmark 19: x=668.900320, y=306.365095, z=-665.969682
  Landmark 20: x=688.466315, y=332.828816, z=-668.723386
  Landmark 21: x=510.134244, y=-186.991843, z=-639.901500
Hand 1
  Landmark 0: x=102.449421, y=117.655474, z=-638.722285
  Landmark 1: x=45.494256, y=149.936412, z=-624.829240
  Landmark 2: x=6.507940, y=206.066926, z=-637.024516
  Landmark 3: x=-0.448374, y=259.790433, z=-646.680788
  Landmark 4: x=-10.909269, y=304.648016, z=-665.550020
  Landmark 5: x=76.238338, y=280.174204, z=-654.967489
  Landmark 6: x=65.423581, y=346.498418, z=-662.499554
  Landmark 7: x=62.741133, y=386.678547, z=-665.802056
  Landmark 8: x=62.072187, y=418.260934, z=-666.889052
  Landmark 9: x=117.082752, y=284.124768, z=-661.637035
  Landmark 10: x=123.818030, y=357.934466, z=-662.750154
  Landmark 11: x=130.442569, y=400.738478, z=-660.818837
  Landmark 12: x=136.965111, y=433.951154, z=-660.381644
  Landmark 13: x=151.023391, y=271.990226, z=-662.241622
  Landmark 14: x=163.166793, y=339.507038, z=-663.816080
  Landmark 15: x=168.358518, y=379.773652, z=-662.547178
  Landmark 16: x=171.858999, y=410.543810, z=-661.172183
  Landmark 17: x=181.158142, y=246.217391, z=-660.162651
  Landmark 18: x=204.627382, y=294.132054, z=-667.455362
  Landmark 19: x=216.742427, y=325.427340, z=-668.310419
  Landmark 20: x=225.666321, y=354.253328, z=-669.421484
  Landmark 21: x=102.449421, y=-182.344526, z=-638.722285
