# Frame Index: 191
Hand 0
  Landmark 0: x=507.983321, y=118.398709, z=-639.233398
  Landmark 1: x=457.302116, y=165.065252, z=-659.882047
  Landmark 2: x=420.282592, y=216.602790, z=-658.621057
  Landmark 3: x=408.572987, y=274.601154, z=-663.032236
  Landmark 4: x=405.715307, y=324.381602, z=-674.474965
  Landmark 5: x=491.478202, y=270.680101, z=-652.764365
  Landmark 6: x=495.628261, y=351.575654, z=-659.858544
  Landmark 7: x=500.312637, y=397.485825, z=-662.495929
  Landmark 8: x=507.506887, y=433.824985, z=-667.979081
  Landmark 9: x=536.163958, y=267.280101, z=-650.839190
  Landmark 10: x=554.901190, y=350.728658, z=-653.933915
  Landmark 11: x=571.363714, y=401.973348, z=-657.958774
  Landmark 12: x=587.355569, y=439.665133, z=-663.984418
  Landmark 13: x=572.556504, y=253.015428, z=-651.982580
  Landmark 14: x=599.280720, y=326.078778, z=-653.917225
  Landmark 15: x=618.439350, y=370.386256, z=-657.657603
  Landmark 16: x=636.764462, y=407.020806, z=-664.668627
  Landmark 17: x=601.883102, y=234.520346, z=-658.233057
  Landmark 18: x=643.611256, y=280.913291, z=-663.150305
  Landmark 19: x=670.100870, y=309.638217, z=-665.978117
  Landmark 20: x=690.544874, y=335.583320, z=-668.817608
  Landmark 21: x=507.983321, y=-181.601291, z=-639.233398
Hand 1
  Landmark 0: x=104.470016, y=115.945294, z=-638.849572
  Landmark 1: x=55.738797, y=156.035824, z=-621.269712
  Landmark 2: x=51.353743, y=219.105868, z=-622.861027
  Landmark 3: x=102.280810, y=250.430634, z=-623.334647
  Landmark 4: x=146.083001, y=242.413261, z=-634.791171
  Landmark 5: x=82.415002, y=280.839880, z=-653.399909
  Landmark 6: x=89.203830, y=351.360975, z=-663.042203
  Landmark 7: x=97.241181, y=390.307574, z=-666.185922
  Landmark 8: x=105.969065, y=421.208266, z=-666.550997
  Landmark 9: x=119.376885, y=282.557110, z=-657.534812
  Landmark 10: x=128.163190, y=357.067356, z=-662.791051
  Landmark 11: x=136.010035, y=400.346235, z=-660.233688
  Landmark 12: x=143.156910, y=432.801492, z=-658.414107
  Landmark 13: x=151.814989, y=270.859903, z=-662.247663
  Landmark 14: x=164.432221, y=339.287055, z=-664.528393
  Landmark 15: x=169.963154, y=379.216088, z=-661.778912
  Landmark 16: x=174.048595, y=408.986961, z=-659.504656
  Landmark 17: x=183.411400, y=245.671432, z=-660.778433
  Landmark 18: x=206.262230, y=294.367028, z=-667.479007
  Landmark 19: x=217.697240, y=326.041183, z=-667.614679
  Landmark 20: x=226.584702, y=354.430776, z=-667.971871
  Landmark 21: x=104.470016, y=-184.054706, z=-638.849572
