# Frame Index: 208
Hand 0
  Landmark 0: x=508.587455, y=118.310786, z=-639.788673
  Landmark 1: x=457.407848, y=165.065327, z=-659.965668
  Landmark 2: x=420.619928, y=216.602970, z=-658.854374
  Landmark 3: x=408.989264, y=274.381386, z=-663.271686
  Landmark 4: x=406.793982, y=323.325763, z=-674.637509
  Landmark 5: x=491.657169, y=270.148458, z=-652.857930
  Landmark 6: x=495.979507, y=350.811001, z=-659.846878
  Landmark 7: x=500.421121, y=396.691895, z=-662.440936
  Landmark 8: x=507.653430, y=432.959883, z=-667.760092
  Landmark 9: x=536.095054, y=266.721041, z=-650.772424
  Landmark 10: x=554.894826, y=350.078700, z=-653.990632
  Landmark 11: x=570.988371, y=401.191694, z=-658.105493
  Landmark 12: x=586.870250, y=438.936381, z=-663.969833
  Landmark 13: x=572.980958, y=252.492567, z=-652.164504
  Landmark 14: x=598.873274, y=325.452639, z=-653.729526
  Landmark 15: x=618.116851, y=369.854913, z=-657.790550
  Landmark 16: x=636.396449, y=406.403089, z=-664.837340
  Landmark 17: x=602.157627, y=233.962075, z=-658.170977
  Landmark 18: x=643.605142, y=280.330098, z=-663.006509
  Landmark 19: x=669.666473, y=309.010567, z=-665.834509
  Landmark 20: x=689.989959, y=335.066383, z=-668.605276
  Landmark 21: x=508.587455, y=-181.689214, z=-639.788673
Hand 1
  Landmark 0: x=104.623073, y=114.344710, z=-640.012714
  Landmark 1: x=60.391520, y=147.741351, z=-620.854795
  Landmark 2: x=44.721881, y=208.320034, z=-618.037252
  Landmark 3: x=44.184802, y=256.269290, z=-617.920732
  Landmark 4: x=89.034901, y=268.961952, z=-627.553368
  Landmark 5: x=81.647182, y=274.776730, z=-649.729544
  Landmark 6: x=87.392995, y=349.045260, z=-661.975577
  Landmark 7: x=94.607651, y=389.257822, z=-665.397339
  Landmark 8: x=102.611329, y=420.883457, z=-666.225771
  Landmark 9: x=119.508426, y=278.423382, z=-652.813515
  Landmark 10: x=128.971452, y=355.705087, z=-662.468954
  Landmark 11: x=136.363451, y=399.798380, z=-660.754175
  Landmark 12: x=143.592864, y=432.651711, z=-659.614234
  Landmark 13: x=152.774155, y=269.695986, z=-661.243546
  Landmark 14: x=165.855430, y=336.576339, z=-664.581656
  Landmark 15: x=171.026835, y=377.919186, z=-663.120186
  Landmark 16: x=175.566332, y=408.355667, z=-661.613260
  Landmark 17: x=183.310404, y=243.945489, z=-660.329745
  Landmark 18: x=206.037516, y=292.153736, z=-667.542418
  Landmark 19: x=217.216431, y=324.340919, z=-668.040724
  Landmark 20: x=226.324301, y=352.224715, z=-668.939468
  Landmark 21: x=104.623073, y=-185.655290, z=-640.012714
