# Frame Index: 245
Hand 0
  Landmark 0: x=509.557054, y=115.178369, z=-639.831601
  Landmark 1: x=458.753618, y=161.159766, z=-659.952811
  Landmark 2: x=421.058592, y=213.104690, z=-658.388212
  Landmark 3: x=409.397855, y=271.061354, z=-662.553455
  Landmark 4: x=408.822288, y=320.157207, z=-674.108250
  Landmark 5: x=491.795715, y=266.508687, z=-651.820322
  Landmark 6: x=496.032677, y=347.600487, z=-659.312142
  Landmark 7: x=500.616589, y=393.461733, z=-662.070810
  Landmark 8: x=507.749043, y=429.755020, z=-667.532531
  Landmark 9: x=535.728178, y=263.128606, z=-649.625688
  Landmark 10: x=554.239168, y=346.541960, z=-653.018448
  Landmark 11: x=570.622561, y=397.747086, z=-657.686869
  Landmark 12: x=586.559160, y=436.266276, z=-664.276397
  Landmark 13: x=572.959419, y=249.632485, z=-651.418394
  Landmark 14: x=598.974301, y=323.062531, z=-653.601319
  Landmark 15: x=617.196724, y=367.180373, z=-657.203309
  Landmark 16: x=635.656039, y=403.977654, z=-665.042319
  Landmark 17: x=602.412769, y=231.921379, z=-657.815168
  Landmark 18: x=643.014641, y=278.651865, z=-662.622200
  Landmark 19: x=668.685000, y=307.646040, z=-665.528062
  Landmark 20: x=689.253786, y=333.822961, z=-668.812405
  Landmark 21: x=509.557054, y=-184.821631, z=-639.831601
Hand 1
  Landmark 0: x=103.608433, y=116.615200, z=-639.447994
  Landmark 1: x=52.283025, y=156.287202, z=-622.425775
  Landmark 2: x=41.104604, y=220.082882, z=-625.264955
  Landmark 3: x=100.105040, y=251.415852, z=-626.169070
  Landmark 4: x=145.170516, y=244.694240, z=-638.361458
  Landmark 5: x=74.503652, y=277.333968, z=-652.730668
  Landmark 6: x=64.912398, y=344.054210, z=-661.546270
  Landmark 7: x=62.478697, y=385.119280, z=-665.193026
  Landmark 8: x=62.056224, y=418.100018, z=-667.155095
  Landmark 9: x=115.906830, y=281.113058, z=-663.128601
  Landmark 10: x=123.739496, y=357.428681, z=-662.888129
  Landmark 11: x=130.162686, y=401.443143, z=-661.060852
  Landmark 12: x=136.397487, y=435.064647, z=-661.044344
  Landmark 13: x=150.405360, y=270.645114, z=-661.954128
  Landmark 14: x=164.308337, y=339.348989, z=-664.321953
  Landmark 15: x=170.365713, y=380.461757, z=-663.098494
  Landmark 16: x=174.535747, y=412.653838, z=-662.022393
  Landmark 17: x=180.329401, y=245.844803, z=-659.050354
  Landmark 18: x=203.884390, y=293.046852, z=-667.014534
  Landmark 19: x=215.993786, y=324.565498, z=-668.326723
  Landmark 20: x=225.448627, y=353.900033, z=-669.536815
  Landmark 21: x=103.608433, y=-183.384800, z=-639.447994
