# Frame Index: 111
Hand 0
  Landmark 0: x=503.246812, y=123.427803, z=-638.300898
  Landmark 1: x=456.424521, y=169.471246, z=-660.455603
  Landmark 2: x=419.154742, y=220.411031, z=-658.407693
  Landmark 3: x=404.416747, y=277.516262, z=-662.414205
  Landmark 4: x=398.838684, y=326.406700, z=-673.716364
  Landmark 5: x=497.769284, y=282.778580, z=-657.130773
  Landmark 6: x=499.751550, y=360.726902, z=-662.226679
  Landmark 7: x=502.248585, y=406.163721, z=-663.439105
  Landmark 8: x=508.537992, y=442.264100, z=-667.624990
  Landmark 9: x=541.147789, y=278.433958, z=-654.632865
  Landmark 10: x=560.830545, y=358.766883, z=-655.996769
  Landmark 11: x=578.415330, y=408.256765, z=-658.853036
  Landmark 12: x=593.660762, y=444.334792, z=-663.357056
  Landmark 13: x=576.213780, y=261.223529, z=-654.009469
  Landmark 14: x=609.728805, y=331.526897, z=-655.076894
  Landmark 15: x=632.495704, y=374.568044, z=-658.074158
  Landmark 16: x=653.185902, y=409.778964, z=-664.898702
  Landmark 17: x=601.917212, y=239.521448, z=-657.560906
  Landmark 18: x=650.867881, y=282.021521, z=-663.859659
  Landmark 19: x=680.234037, y=308.477918, z=-665.863573
  Landmark 20: x=702.297235, y=333.111540, z=-668.205687
  Landmark 21: x=503.246812, y=-176.572197, z=-638.300898
Hand 1
  Landmark 0: x=103.243507, y=118.972211, z=-639.468169
  Landmark 1: x=49.095198, y=155.561641, z=-623.866570
  Landmark 2: x=9.777620, y=208.391972, z=-633.384829
  Landmark 3: x=-3.281991, y=260.612817, z=-639.229970
  Landmark 4: x=-19.894805, y=242.109937, z=-658.747710
  Landmark 5: x=85.518297, y=289.351694, z=-656.379003
  Landmark 6: x=95.374474, y=356.839381, z=-663.537509
  Landmark 7: x=105.874178, y=395.010317, z=-666.001865
  Landmark 8: x=115.629429, y=424.648341, z=-665.992858
  Landmark 9: x=122.602039, y=289.143471, z=-660.654601
  Landmark 10: x=132.342861, y=360.768983, z=-662.285049
  Landmark 11: x=139.755354, y=403.439534, z=-660.082438
  Landmark 12: x=146.257265, y=436.099969, z=-659.083192
  Landmark 13: x=153.891578, y=274.522486, z=-661.578719
  Landmark 14: x=167.828777, y=342.613535, z=-664.193401
  Landmark 15: x=173.111053, y=382.095321, z=-661.442721
  Landmark 16: x=175.516481, y=411.704691, z=-659.263926
  Landmark 17: x=185.279605, y=247.793428, z=-659.604310
  Landmark 18: x=208.872875, y=296.619367, z=-666.809972
  Landmark 19: x=221.437097, y=328.244509, z=-666.978363
  Landmark 20: x=229.140745, y=356.522100, z=-666.441633
  Landmark 21: x=103.243507, y=-181.027789, z=-639.468169
