# Frame Index: 238
Hand 0
  Landmark 0: x=509.178590, y=116.005481, z=-639.778095
  Landmark 1: x=458.223349, y=161.708042, z=-659.899389
  Landmark 2: x=420.819065, y=214.531071, z=-658.401318
  Landmark 3: x=410.002824, y=271.241380, z=-662.820853
  Landmark 4: x=408.361385, y=320.050835, z=-674.107649
  Landmark 5: x=491.603271, y=267.273678, z=-651.738723
  Landmark 6: x=496.079514, y=348.224216, z=-659.450489
  Landmark 7: x=500.653801, y=394.223108, z=-662.102135
  Landmark 8: x=507.857008, y=430.552423, z=-667.699428
  Landmark 9: x=535.635620, y=263.866420, z=-649.727661
  Landmark 10: x=554.313993, y=347.137035, z=-653.076585
  Landmark 11: x=570.654633, y=398.474037, z=-657.762077
  Landmark 12: x=586.599496, y=436.802724, z=-664.424538
  Landmark 13: x=572.896759, y=250.147506, z=-651.317175
  Landmark 14: x=598.980212, y=323.606988, z=-653.574833
  Landmark 15: x=617.549565, y=367.766970, z=-657.390706
  Landmark 16: x=635.852854, y=404.471817, z=-665.030194
  Landmark 17: x=602.175194, y=232.413152, z=-657.781607
  Landmark 18: x=643.183113, y=279.272034, z=-662.766171
  Landmark 19: x=668.853574, y=308.016560, z=-665.555024
  Landmark 20: x=689.655932, y=334.257104, z=-668.898637
  Landmark 21: x=509.178590, y=-183.994519, z=-639.778095
Hand 1
  Landmark 0: x=103.330577, y=117.244921, z=-639.288967
  Landmark 1: x=46.212040, y=149.695672, z=-623.752652
  Landmark 2: x=12.040214, y=207.038732, z=-630.398411
  Landmark 3: x=48.618249, y=254.056615, z=-632.487034
  Landmark 4: x=79.286849, y=283.337791, z=-644.704760
  Landmark 5: x=75.392460, y=281.651111, z=-655.401319
  Landmark 6: x=67.198730, y=347.367020, z=-662.162187
  Landmark 7: x=65.462644, y=388.030095, z=-665.480422
  Landmark 8: x=65.807243, y=420.322175, z=-667.312685
  Landmark 9: x=117.896086, y=287.339045, z=-662.681884
  Landmark 10: x=124.947513, y=359.811132, z=-662.720228
  Landmark 11: x=131.474438, y=402.572718, z=-661.165906
  Landmark 12: x=137.937453, y=435.398373, z=-661.142632
  Landmark 13: x=152.195272, y=274.780800, z=-662.849639
  Landmark 14: x=165.047348, y=341.519050, z=-664.367090
  Landmark 15: x=171.170359, y=381.108478, z=-663.254699
  Landmark 16: x=175.248484, y=412.413678, z=-662.233814
  Landmark 17: x=182.003736, y=248.325681, z=-659.919713
  Landmark 18: x=204.770376, y=295.379754, z=-667.181528
  Landmark 19: x=216.569013, y=325.999973, z=-668.463901
  Landmark 20: x=225.554171, y=355.216213, z=-669.729859
  Landmark 21: x=103.330577, y=-182.755079, z=-639.288967
