# Frame Index: 274
Hand 0
  Landmark 0: x=510.224255, y=113.401607, z=-640.021796
  Landmark 1: x=459.471360, y=160.121181, z=-660.063815
  Landmark 2: x=422.030561, y=212.459875, z=-658.929679
  Landmark 3: x=410.988095, y=270.194557, z=-662.547550
  Landmark 4: x=409.367633, y=320.050585, z=-674.445338
  Landmark 5: x=492.062240, y=264.745186, z=-651.616278
  Landmark 6: x=495.806463, y=346.727542, z=-659.298586
  Landmark 7: x=500.451464, y=392.493658, z=-662.240504
  Landmark 8: x=507.954234, y=429.095660, z=-668.141032
  Landmark 9: x=535.998274, y=261.494459, z=-649.392050
  Landmark 10: x=554.313529, y=345.109347, z=-652.859949
  Landmark 11: x=570.859755, y=396.695848, z=-657.984911
  Landmark 12: x=585.950470, y=434.623449, z=-664.066601
  Landmark 13: x=573.242556, y=247.996174, z=-651.146365
  Landmark 14: x=599.462059, y=321.633697, z=-653.784537
  Landmark 15: x=616.583821, y=365.425804, z=-657.230333
  Landmark 16: x=634.185953, y=401.839076, z=-664.725570
  Landmark 17: x=603.441633, y=230.504320, z=-658.171151
  Landmark 18: x=644.088360, y=277.286702, z=-663.282463
  Landmark 19: x=668.857786, y=306.492262, z=-665.821686
  Landmark 20: x=688.576016, y=332.753798, z=-668.464963
  Landmark 21: x=510.224255, y=-186.598393, z=-640.021796
Hand 1
  Landmark 0: x=104.443601, y=117.270652, z=-639.234531
  Landmark 1: x=53.523171, y=151.400728, z=-621.481703
  Landmark 2: x=16.092638, y=207.016855, z=-627.352236
  Landmark 3: x=-4.412249, y=254.510162, z=-630.638128
  Landmark 4: x=-27.715550, y=288.270466, z=-645.792959
  Landmark 5: x=75.932489, y=275.692852, z=-651.716678
  Landmark 6: x=64.597610, y=344.024865, z=-661.505033
  Landmark 7: x=61.592195, y=384.936903, z=-665.784470
  Landmark 8: x=60.299925, y=417.101150, z=-666.625452
  Landmark 9: x=116.510750, y=280.347329, z=-662.036870
  Landmark 10: x=123.589240, y=355.839846, z=-662.505149
  Landmark 11: x=130.186992, y=400.114225, z=-661.047036
  Landmark 12: x=136.545546, y=434.020505, z=-660.428333
  Landmark 13: x=150.704164, y=269.618878, z=-661.302563
  Landmark 14: x=163.604436, y=337.526711, z=-664.384107
  Landmark 15: x=168.805445, y=379.385928, z=-663.028961
  Landmark 16: x=172.730254, y=411.631102, z=-661.786645
  Landmark 17: x=180.952626, y=244.488347, z=-660.003820
  Landmark 18: x=204.425553, y=292.015344, z=-667.137381
  Landmark 19: x=216.446207, y=324.137056, z=-668.112772
  Landmark 20: x=225.795757, y=353.431658, z=-669.612235
  Landmark 21: x=104.443601, y=-182.729348, z=-639.234531
