# Frame Index: 169
Hand 0
  Landmark 0: x=507.628432, y=119.690863, z=-639.474868
  Landmark 1: x=457.071135, y=166.102652, z=-660.383564
  Landmark 2: x=419.958502, y=217.638626, z=-658.876306
  Landmark 3: x=407.737596, y=275.015088, z=-662.859551
  Landmark 4: x=405.123879, y=323.899354, z=-674.385391
  Landmark 5: x=492.017222, y=272.272157, z=-653.018637
  Landmark 6: x=495.334711, y=352.648214, z=-660.289959
  Landmark 7: x=500.343471, y=398.687159, z=-662.985778
  Landmark 8: x=507.545871, y=434.731721, z=-667.774952
  Landmark 9: x=536.428924, y=268.620536, z=-650.975406
  Landmark 10: x=555.538155, y=351.773882, z=-653.887712
  Landmark 11: x=571.964120, y=402.955321, z=-658.290988
  Landmark 12: x=587.939723, y=440.467820, z=-663.749287
  Landmark 13: x=572.450294, y=254.035517, z=-651.929689
  Landmark 14: x=599.633180, y=326.560898, z=-653.848527
  Landmark 15: x=619.387249, y=371.030371, z=-657.835967
  Landmark 16: x=638.861581, y=407.821968, z=-664.715378
  Landmark 17: x=601.790245, y=235.224980, z=-658.141673
  Landmark 18: x=644.077813, y=281.343967, z=-663.080102
  Landmark 19: x=670.885198, y=310.052810, z=-666.096056
  Landmark 20: x=691.589360, y=336.445890, z=-668.744858
  Landmark 21: x=507.628432, y=-180.309137, z=-639.474868
Hand 1
  Landmark 0: x=106.654333, y=118.075615, z=-639.017716
  Landmark 1: x=52.985916, y=151.895490, z=-622.030429
  Landmark 2: x=14.488007, y=209.052286, z=-630.508289
  Landmark 3: x=1.688543, y=262.281507, z=-638.783395
  Landmark 4: x=-20.108639, y=302.570159, z=-660.889385
  Landmark 5: x=83.680096, y=284.391495, z=-654.150009
  Landmark 6: x=90.166593, y=353.632516, z=-663.111492
  Landmark 7: x=98.207211, y=392.348547, z=-666.063193
  Landmark 8: x=106.885034, y=423.255205, z=-666.913822
  Landmark 9: x=120.592286, y=286.125744, z=-659.974933
  Landmark 10: x=128.584920, y=358.869941, z=-662.504316
  Landmark 11: x=136.458904, y=401.762682, z=-659.965551
  Landmark 12: x=143.522541, y=434.470999, z=-659.070616
  Landmark 13: x=152.838015, y=273.221280, z=-661.896420
  Landmark 14: x=164.539875, y=341.992801, z=-664.602814
  Landmark 15: x=169.712696, y=381.068447, z=-662.591507
  Landmark 16: x=173.460503, y=410.465626, z=-660.583341
  Landmark 17: x=185.015930, y=248.268695, z=-661.122150
  Landmark 18: x=207.317509, y=297.190937, z=-667.464197
  Landmark 19: x=218.708743, y=328.631465, z=-667.711710
  Landmark 20: x=227.259837, y=357.310280, z=-668.141313
  Landmark 21: x=106.654333, y=-181.924385, z=-639.017716
