# Frame Index: 315
Hand 0
  Landmark 0: x=509.470273, y=111.963858, z=-640.363124
  Landmark 1: x=457.240879, y=157.564956, z=-659.231346
  Landmark 2: x=419.877807, y=209.581305, z=-659.606723
  Landmark 3: x=409.583406, y=267.698615, z=-663.870469
  Landmark 4: x=408.516341, y=316.750403, z=-674.988702
  Landmark 5: x=489.756322, y=264.074741, z=-651.653534
  Landmark 6: x=493.676818, y=344.892833, z=-659.642390
  Landmark 7: x=498.245026, y=390.098385, z=-662.202737
  Landmark 8: x=506.040803, y=426.449269, z=-668.279497
  Landmark 9: x=534.160707, y=261.511313, z=-650.423566
  Landmark 10: x=552.013975, y=344.455263, z=-653.446078
  Landmark 11: x=567.917580, y=394.783275, z=-657.715851
  Landmark 12: x=583.029026, y=432.436788, z=-663.852030
  Landmark 13: x=571.131542, y=247.985708, z=-652.010629
  Landmark 14: x=596.776362, y=321.244885, z=-653.964254
  Landmark 15: x=614.220590, y=365.150209, z=-657.598944
  Landmark 16: x=632.114305, y=401.415034, z=-665.235537
  Landmark 17: x=601.148254, y=230.014745, z=-658.545200
  Landmark 18: x=641.625446, y=276.833041, z=-663.254779
  Landmark 19: x=667.358863, y=305.781221, z=-666.325981
  Landmark 20: x=686.318946, y=331.967760, z=-668.646601
  Landmark 21: x=509.470273, y=-188.036142, z=-640.363124
Hand 1
  Landmark 0: x=98.786335, y=111.073274, z=-639.243081
  Landmark 1: x=48.797728, y=144.807894, z=-620.024068
  Landmark 2: x=17.445989, y=199.150250, z=-623.046056
  Landmark 3: x=-13.173237, y=251.027118, z=-624.683823
  Landmark 4: x=-31.389207, y=296.217648, z=-641.124148
  Landmark 5: x=72.903162, y=273.520587, z=-650.438923
  Landmark 6: x=66.408779, y=341.901394, z=-662.195293
  Landmark 7: x=66.417956, y=382.035710, z=-665.779100
  Landmark 8: x=67.920194, y=413.175850, z=-666.091712
  Landmark 9: x=112.761277, y=276.418780, z=-656.295976
  Landmark 10: x=120.194969, y=351.335073, z=-662.916642
  Landmark 11: x=127.171277, y=394.926023, z=-660.704754
  Landmark 12: x=133.959130, y=428.225269, z=-660.115296
  Landmark 13: x=145.985092, y=264.112219, z=-661.201448
  Landmark 14: x=159.597507, y=332.192495, z=-664.544734
  Landmark 15: x=165.391285, y=374.008617, z=-663.915421
  Landmark 16: x=169.339756, y=405.499027, z=-662.897576
  Landmark 17: x=176.952438, y=238.870141, z=-659.851856
  Landmark 18: x=200.899142, y=286.197573, z=-667.485964
  Landmark 19: x=213.360525, y=317.889280, z=-668.249168
  Landmark 20: x=222.579261, y=346.715255, z=-669.415580
  Landmark 21: x=98.786335, y=-188.926726, z=-639.243081
