# Frame Index: 201
Hand 0
  Landmark 0: x=508.373390, y=118.324639, z=-639.589780
  Landmark 1: x=457.361743, y=165.315662, z=-660.129544
  Landmark 2: x=420.575965, y=216.602986, z=-658.624311
  Landmark 3: x=408.543942, y=274.793626, z=-663.270082
  Landmark 4: x=405.798366, y=323.708281, z=-674.585101
  Landmark 5: x=491.578912, y=270.475577, z=-652.916485
  Landmark 6: x=495.862158, y=351.133389, z=-659.962631
  Landmark 7: x=500.338903, y=397.088883, z=-662.259202
  Landmark 8: x=507.669193, y=433.226063, z=-667.819359
  Landmark 9: x=536.149954, y=266.903442, z=-650.877372
  Landmark 10: x=554.897585, y=350.347034, z=-653.975163
  Landmark 11: x=571.190397, y=401.389637, z=-658.084467
  Landmark 12: x=587.054163, y=439.125642, z=-664.049160
  Landmark 13: x=572.811520, y=252.653768, z=-652.129316
  Landmark 14: x=599.045558, y=325.772554, z=-653.936079
  Landmark 15: x=618.155529, y=370.105923, z=-657.773261
  Landmark 16: x=636.188051, y=406.621203, z=-664.572208
  Landmark 17: x=602.101160, y=234.107494, z=-658.296475
  Landmark 18: x=643.428626, y=280.469451, z=-662.960389
  Landmark 19: x=669.812649, y=309.285406, z=-665.812907
  Landmark 20: x=690.133028, y=335.140521, z=-668.577279
  Landmark 21: x=508.373390, y=-181.675361, z=-639.589780
Hand 1
  Landmark 0: x=105.187514, y=115.626144, z=-639.863674
  Landmark 1: x=62.437087, y=154.811344, z=-620.132995
  Landmark 2: x=66.672987, y=219.021893, z=-620.334975
  Landmark 3: x=101.498978, y=250.792058, z=-624.824903
  Landmark 4: x=146.896597, y=246.330547, z=-638.123172
  Landmark 5: x=82.837258, y=280.034303, z=-650.755590
  Landmark 6: x=88.980021, y=349.789523, z=-662.596726
  Landmark 7: x=96.822865, y=389.750104, z=-666.271729
  Landmark 8: x=105.777162, y=420.977779, z=-666.879701
  Landmark 9: x=119.322917, y=279.473031, z=-652.589445
  Landmark 10: x=128.011962, y=354.617863, z=-662.649183
  Landmark 11: x=135.446984, y=398.873886, z=-660.182326
  Landmark 12: x=142.646153, y=431.684600, z=-658.320222
  Landmark 13: x=151.906950, y=268.126036, z=-660.520303
  Landmark 14: x=164.241056, y=335.794818, z=-664.301994
  Landmark 15: x=169.209101, y=377.546725, z=-662.789399
  Landmark 16: x=173.507784, y=407.891610, z=-661.127392
  Landmark 17: x=183.129957, y=243.170291, z=-659.974722
  Landmark 18: x=206.177084, y=292.034161, z=-667.320699
  Landmark 19: x=217.552456, y=325.104952, z=-667.822057
  Landmark 20: x=226.514690, y=353.898980, z=-668.731120
  Landmark 21: x=105.187514, y=-184.373856, z=-639.863674
