# Frame Index: 296
Hand 0
  Landmark 0: x=509.997569, y=112.545919, z=-640.063653
  Landmark 1: x=459.048796, y=158.841615, z=-659.925569
  Landmark 2: x=421.449124, y=211.424194, z=-659.362138
  Landmark 3: x=409.972567, y=269.147941, z=-663.162954
  Landmark 4: x=408.961802, y=318.045010, z=-674.247127
  Landmark 5: x=491.856441, y=264.263089, z=-651.728729
  Landmark 6: x=495.607770, y=346.187585, z=-659.573407
  Landmark 7: x=500.271303, y=392.174875, z=-662.351169
  Landmark 8: x=507.651031, y=428.460111, z=-668.195752
  Landmark 9: x=535.912524, y=260.895170, z=-649.683011
  Landmark 10: x=554.297240, y=344.600422, z=-653.034207
  Landmark 11: x=570.563271, y=395.749028, z=-657.951615
  Landmark 12: x=585.690533, y=433.560780, z=-663.963554
  Landmark 13: x=572.922819, y=247.196416, z=-651.493203
  Landmark 14: x=599.195560, y=321.147914, z=-653.877948
  Landmark 15: x=616.225260, y=365.394451, z=-657.550117
  Landmark 16: x=633.579309, y=401.724594, z=-664.913289
  Landmark 17: x=603.724986, y=229.693030, z=-658.893177
  Landmark 18: x=643.869151, y=276.760393, z=-663.317334
  Landmark 19: x=668.834435, y=306.006538, z=-666.199023
  Landmark 20: x=688.060693, y=332.507836, z=-668.751016
  Landmark 21: x=509.997569, y=-187.454081, z=-640.063653
Hand 1
  Landmark 0: x=102.835122, y=114.446999, z=-639.961876
  Landmark 1: x=53.835028, y=155.060565, z=-622.202821
  Landmark 2: x=46.000468, y=215.824937, z=-624.745302
  Landmark 3: x=104.093047, y=245.502811, z=-627.857601
  Landmark 4: x=150.228483, y=277.845546, z=-642.140521
  Landmark 5: x=75.504090, y=276.923013, z=-652.649709
  Landmark 6: x=65.960832, y=343.461347, z=-662.264997
  Landmark 7: x=64.007077, y=383.912237, z=-665.557314
  Landmark 8: x=63.792986, y=415.539640, z=-666.535852
  Landmark 9: x=116.112607, y=279.878704, z=-658.300676
  Landmark 10: x=122.643456, y=354.713577, z=-662.970961
  Landmark 11: x=129.221431, y=398.567511, z=-660.608414
  Landmark 12: x=135.479420, y=432.087316, z=-660.514925
  Landmark 13: x=149.290324, y=267.483418, z=-661.282177
  Landmark 14: x=162.023861, y=336.361986, z=-663.953621
  Landmark 15: x=167.032119, y=377.930595, z=-663.249006
  Landmark 16: x=170.303196, y=409.118222, z=-661.752239
  Landmark 17: x=179.788876, y=242.874748, z=-659.176790
  Landmark 18: x=203.421427, y=290.575384, z=-667.462917
  Landmark 19: x=215.439477, y=322.286441, z=-668.115630
  Landmark 20: x=224.684124, y=351.254222, z=-669.371535
  Landmark 21: x=102.835122, y=-185.553001, z=-639.961876
