# Frame Index: 95
Hand 0
  Landmark 0: x=509.381482, y=120.451506, z=-636.443930
  Landmark 1: x=458.645779, y=164.525057, z=-658.500764
  Landmark 2: x=422.071582, y=215.945520, z=-654.233223
  Landmark 3: x=407.530151, y=273.969878, z=-659.330953
  Landmark 4: x=400.938718, y=325.346578, z=-673.047091
  Landmark 5: x=497.316781, y=283.101819, z=-653.999251
  Landmark 6: x=504.332611, y=363.720524, z=-660.383238
  Landmark 7: x=504.650624, y=406.710286, z=-662.200101
  Landmark 8: x=511.874796, y=441.878812, z=-666.596164
  Landmark 9: x=543.024516, y=279.307601, z=-652.000000
  Landmark 10: x=558.217640, y=360.199948, z=-653.533172
  Landmark 11: x=576.463272, y=411.785292, z=-657.673731
  Landmark 12: x=588.383307, y=443.936790, z=-662.527142
  Landmark 13: x=577.386731, y=259.221878, z=-650.840979
  Landmark 14: x=612.977352, y=334.446005, z=-649.000000
  Landmark 15: x=636.098031, y=377.960288, z=-652.000000
  Landmark 16: x=654.009816, y=409.712362, z=-658.000000
  Landmark 17: x=607.526974, y=241.547147, z=-656.433218
  Landmark 18: x=651.681159, y=285.315390, z=-662.477154
  Landmark 19: x=673.332479, y=311.954365, z=-664.617715
  Landmark 20: x=694.070367, y=337.665255, z=-667.390758
  Landmark 21: x=509.381482, y=-179.548494, z=-636.443930
Hand 1
  Landmark 0: x=108.476302, y=122.660934, z=-635.609375
  Landmark 1: x=65.174709, y=155.061555, z=-618.270858
  Landmark 2: x=61.919898, y=218.754107, z=-620.924639
  Landmark 3: x=107.594269, y=247.667480, z=-624.727473
  Landmark 4: x=154.548963, y=305.130622, z=-637.375189
  Landmark 5: x=82.325630, y=279.296776, z=-647.001497
  Landmark 6: x=90.588982, y=346.975115, z=-662.473388
  Landmark 7: x=99.065536, y=387.403858, z=-664.831650
  Landmark 8: x=105.840641, y=417.071008, z=-664.621021
  Landmark 9: x=121.408943, y=280.895285, z=-643.004494
  Landmark 10: x=128.746567, y=355.393143, z=-661.758302
  Landmark 11: x=134.968228, y=398.773372, z=-658.446429
  Landmark 12: x=139.549792, y=430.842685, z=-655.654152
  Landmark 13: x=151.892797, y=272.133670, z=-660.655977
  Landmark 14: x=165.670809, y=339.691965, z=-663.416849
  Landmark 15: x=168.326747, y=382.053102, z=-658.435935
  Landmark 16: x=171.060646, y=411.640519, z=-654.567108
  Landmark 17: x=184.187572, y=246.249236, z=-657.601160
  Landmark 18: x=209.000655, y=296.099063, z=-665.800945
  Landmark 19: x=218.316704, y=330.365344, z=-664.554404
  Landmark 20: x=226.197981, y=356.143249, z=-662.782881
  Landmark 21: x=108.476302, y=-177.339066, z=-635.609375
