# Frame Index: 112
Hand 0
  Landmark 0: x=509.600366, y=120.647304, z=-636.443930
  Landmark 1: x=458.389125, y=164.276529, z=-658.614684
  Landmark 2: x=422.233214, y=215.945520, z=-654.563889
  Landmark 3: x=408.803850, y=273.557731, z=-659.676682
  Landmark 4: x=404.193085, y=325.347371, z=-672.739822
  Landmark 5: x=495.919457, y=278.984101, z=-652.999999
  Landmark 6: x=502.311049, y=359.959535, z=-660.335362
  Landmark 7: x=503.733333, y=404.166571, z=-662.170030
  Landmark 8: x=510.576989, y=439.672169, z=-666.610615
  Landmark 9: x=541.528340, y=275.307555, z=-651.000000
  Landmark 10: x=557.435233, y=356.839413, z=-653.664768
  Landmark 11: x=575.011717, y=408.464954, z=-657.658924
  Landmark 12: x=587.885894, y=442.008958, z=-662.547235
  Landmark 13: x=576.598177, y=256.971167, z=-650.861141
  Landmark 14: x=608.936856, y=331.537366, z=-649.000000
  Landmark 15: x=631.148792, y=375.445419, z=-652.000000
  Landmark 16: x=649.086038, y=408.131822, z=-658.000000
  Landmark 17: x=606.562275, y=238.923818, z=-656.464061
  Landmark 18: x=649.711807, y=283.125523, z=-662.457961
  Landmark 19: x=672.623547, y=310.587426, z=-664.612903
  Landmark 20: x=692.782549, y=336.340145, z=-667.450641
  Landmark 21: x=509.600366, y=-179.352696, z=-636.443930
Hand 1
  Landmark 0: x=108.026897, y=123.942297, z=-635.582798
  Landmark 1: x=60.500285, y=156.538979, z=-618.176621
  Landmark 2: x=21.585196, y=209.715544, z=-621.322927
  Landmark 3: x=4.806708, y=258.843326, z=-624.460442
  Landmark 4: x=-15.128015, y=322.921954, z=-635.626796
  Landmark 5: x=82.727598, y=279.141769, z=-633.008240
  Landmark 6: x=90.854382, y=347.277554, z=-662.510436
  Landmark 7: x=99.244063, y=387.467825, z=-664.838987
  Landmark 8: x=106.653335, y=417.961949, z=-664.639250
  Landmark 9: x=121.199158, y=281.745002, z=-642.994013
  Landmark 10: x=128.868939, y=355.396773, z=-661.766103
  Landmark 11: x=135.223714, y=398.581010, z=-658.527142
  Landmark 12: x=140.452292, y=431.191526, z=-655.654152
  Landmark 13: x=152.380470, y=272.267853, z=-660.671577
  Landmark 14: x=165.060398, y=339.875323, z=-663.480407
  Landmark 15: x=168.498091, y=381.396149, z=-658.435935
  Landmark 16: x=171.557702, y=411.270846, z=-654.567108
  Landmark 17: x=184.445768, y=246.937234, z=-657.608262
  Landmark 18: x=208.453021, y=296.176564, z=-665.806039
  Landmark 19: x=218.223355, y=329.726315, z=-664.554404
  Landmark 20: x=226.301628, y=356.481885, z=-662.782881
  Landmark 21: x=108.026897, y=-176.057703, z=-635.582798
