# Frame Index: 209
Hand 0
  Landmark 0: x=510.866772, y=118.263552, z=-636.443930
  Landmark 1: x=459.922191, y=159.322535, z=-657.871769
  Landmark 2: x=423.888636, y=210.069649, z=-654.509745
  Landmark 3: x=411.270084, y=268.571412, z=-660.385134
  Landmark 4: x=407.854969, y=320.525936, z=-672.083677
  Landmark 5: x=493.622025, y=267.730795, z=-650.999252
  Landmark 6: x=498.485781, y=348.408423, z=-660.267530
  Landmark 7: x=502.131780, y=394.981280, z=-661.981208
  Landmark 8: x=508.074297, y=431.360549, z=-666.733843
  Landmark 9: x=537.700742, y=263.937449, z=-649.999252
  Landmark 10: x=554.439621, y=346.095315, z=-653.485058
  Landmark 11: x=570.360416, y=398.436001, z=-657.530082
  Landmark 12: x=584.906214, y=435.818927, z=-662.658762
  Landmark 13: x=574.660203, y=249.220423, z=-650.930162
  Landmark 14: x=599.697637, y=322.732011, z=-649.000000
  Landmark 15: x=618.967099, y=367.553277, z=-652.000000
  Landmark 16: x=637.209533, y=403.689178, z=-658.000000
  Landmark 17: x=604.510369, y=230.206215, z=-656.444938
  Landmark 18: x=644.827105, y=276.330115, z=-662.452110
  Landmark 19: x=669.192217, y=305.778072, z=-664.564392
  Landmark 20: x=687.773208, y=332.921657, z=-667.516704
  Landmark 21: x=510.866772, y=-181.736448, z=-636.443930
Hand 1
  Landmark 0: x=106.302849, y=124.217537, z=-635.558153
  Landmark 1: x=62.767835, y=157.983818, z=-618.966328
  Landmark 2: x=53.609427, y=217.778748, z=-621.123072
  Landmark 3: x=96.014730, y=249.410746, z=-624.622170
  Landmark 4: x=142.858960, y=245.252228, z=-639.164382
  Landmark 5: x=75.962282, y=273.997239, z=-648.000001
  Landmark 6: x=70.015791, y=342.221570, z=-662.442977
  Landmark 7: x=69.417616, y=384.352181, z=-664.759050
  Landmark 8: x=70.679514, y=416.895099, z=-664.707300
  Landmark 9: x=116.630243, y=280.019129, z=-643.002249
  Landmark 10: x=124.695312, y=354.438033, z=-661.786975
  Landmark 11: x=130.307349, y=398.948944, z=-658.617284
  Landmark 12: x=136.555996, y=432.666946, z=-655.663717
  Landmark 13: x=150.235329, y=270.320108, z=-660.728309
  Landmark 14: x=163.716297, y=337.052114, z=-663.642333
  Landmark 15: x=168.754250, y=379.463647, z=-658.435935
  Landmark 16: x=173.687560, y=411.300938, z=-654.567108
  Landmark 17: x=180.502741, y=244.980176, z=-657.701698
  Landmark 18: x=204.686498, y=292.778590, z=-665.857197
  Landmark 19: x=216.062141, y=325.402973, z=-664.554404
  Landmark 20: x=225.369135, y=354.178220, z=-662.782881
  Landmark 21: x=106.302849, y=-175.782463, z=-635.558153
