# Frame Index: 178
Hand 0
  Landmark 0: x=509.934604, y=119.938437, z=-636.443930
  Landmark 1: x=458.361844, y=161.404247, z=-657.897161
  Landmark 2: x=422.532027, y=212.523964, z=-654.520005
  Landmark 3: x=410.560817, y=271.061055, z=-660.234814
  Landmark 4: x=407.673775, y=322.749505, z=-671.861833
  Landmark 5: x=493.843455, y=270.847071, z=-650.999252
  Landmark 6: x=499.197301, y=351.180877, z=-660.267530
  Landmark 7: x=502.680564, y=397.248709, z=-662.100904
  Landmark 8: x=508.988927, y=433.526643, z=-666.711411
  Landmark 9: x=538.252615, y=266.878300, z=-649.999999
  Landmark 10: x=555.164357, y=348.550250, z=-653.566256
  Landmark 11: x=571.568263, y=400.686939, z=-657.583355
  Landmark 12: x=586.102792, y=437.764149, z=-662.638594
  Landmark 13: x=574.581775, y=251.390210, z=-650.998403
  Landmark 14: x=601.225554, y=324.414983, z=-649.000000
  Landmark 15: x=621.332929, y=369.093439, z=-652.000000
  Landmark 16: x=639.831882, y=405.146224, z=-658.000000
  Landmark 17: x=603.914139, y=232.354506, z=-656.430072
  Landmark 18: x=645.270728, y=277.896043, z=-662.462591
  Landmark 19: x=670.079456, y=306.951758, z=-664.602034
  Landmark 20: x=689.421312, y=333.793341, z=-667.535088
  Landmark 21: x=509.934604, y=-180.061563, z=-636.443930
Hand 1
  Landmark 0: x=105.510703, y=123.605883, z=-635.577417
  Landmark 1: x=50.493060, y=149.196180, z=-620.127269
  Landmark 2: x=11.372311, y=200.361019, z=-623.274023
  Landmark 3: x=-10.912632, y=245.577545, z=-626.041743
  Landmark 4: x=-35.699408, y=280.453437, z=-636.294867
  Landmark 5: x=78.210625, y=275.825645, z=-625.994006
  Landmark 6: x=79.579824, y=345.127320, z=-662.457007
  Landmark 7: x=83.286296, y=385.973181, z=-664.815812
  Landmark 8: x=88.188433, y=417.944730, z=-664.694896
  Landmark 9: x=118.616044, y=282.531977, z=-623.002247
  Landmark 10: x=126.913838, y=355.126130, z=-661.789670
  Landmark 11: x=133.147004, y=398.864302, z=-658.613778
  Landmark 12: x=139.537686, y=432.133714, z=-655.663717
  Landmark 13: x=151.713695, y=272.288230, z=-660.740026
  Landmark 14: x=164.670621, y=338.189968, z=-663.608891
  Landmark 15: x=169.739171, y=379.426756, z=-658.435935
  Landmark 16: x=174.451324, y=410.158757, z=-654.567108
  Landmark 17: x=182.253176, y=246.049385, z=-657.647023
  Landmark 18: x=205.636365, y=294.469334, z=-665.831854
  Landmark 19: x=216.533022, y=326.623518, z=-664.554404
  Landmark 20: x=225.236326, y=354.672242, z=-662.782881
  Landmark 21: x=105.510703, y=-176.394117, z=-635.577417
