# Frame Index: 57
Hand 0
  Landmark 0: x=505.882846, y=116.889215, z=-636.443930
  Landmark 1: x=454.865765, y=167.900880, z=-659.057943
  Landmark 2: x=420.203921, y=218.343092, z=-652.640045
  Landmark 3: x=404.577748, y=275.438467, z=-657.460340
  Landmark 4: x=397.394588, y=325.438497, z=-674.733255
  Landmark 5: x=503.529060, y=299.663594, z=-656.000000
  Landmark 6: x=514.382140, y=379.362797, z=-660.670792
  Landmark 7: x=509.837846, y=417.159407, z=-662.246166
  Landmark 8: x=519.170653, y=451.163193, z=-666.498466
  Landmark 9: x=548.723843, y=294.807002, z=-653.999252
  Landmark 10: x=559.769303, y=373.651880, z=-652.744186
  Landmark 11: x=580.265084, y=425.497616, z=-657.757183
  Landmark 12: x=587.656197, y=452.589378, z=-662.449570
  Landmark 13: x=579.592739, y=266.152221, z=-650.490196
  Landmark 14: x=630.495217, y=345.819020, z=-649.000000
  Landmark 15: x=657.128645, y=388.300870, z=-652.000000
  Landmark 16: x=673.108973, y=415.926464, z=-658.000000
  Landmark 17: x=611.420433, y=250.625780, z=-656.415078
  Landmark 18: x=660.496158, y=293.740394, z=-662.644028
  Landmark 19: x=674.678810, y=317.777467, z=-664.654705
  Landmark 20: x=697.194293, y=343.141350, z=-667.188650
  Landmark 21: x=505.882846, y=-183.110785, z=-636.443930
Hand 1
  Landmark 0: x=106.719511, y=128.801197, z=-635.586093
  Landmark 1: x=52.990372, y=157.044710, z=-621.250419
  Landmark 2: x=20.155756, y=211.045102, z=-625.646289
  Landmark 3: x=2.050474, y=261.271437, z=-629.813056
  Landmark 4: x=-14.156356, y=303.949716, z=-645.135147
  Landmark 5: x=85.070727, y=285.757313, z=-654.000749
  Landmark 6: x=96.451580, y=350.438487, z=-662.545523
  Landmark 7: x=105.853929, y=390.541707, z=-664.816924
  Landmark 8: x=109.852455, y=417.548552, z=-664.696707
  Landmark 9: x=126.254819, y=286.464559, z=-646.008235
  Landmark 10: x=132.334609, y=362.011835, z=-661.947516
  Landmark 11: x=138.087372, y=403.001109, z=-658.249094
  Landmark 12: x=139.708767, y=431.780331, z=-655.582990
  Landmark 13: x=153.770206, y=279.985125, z=-660.636062
  Landmark 14: x=171.542193, y=347.090066, z=-663.380711
  Landmark 15: x=172.686677, y=390.143806, z=-658.365894
  Landmark 16: x=173.506982, y=417.870270, z=-654.567108
  Landmark 17: x=186.228890, y=249.184995, z=-657.651394
  Landmark 18: x=213.833952, y=301.655643, z=-665.757576
  Landmark 19: x=221.774721, y=336.716706, z=-664.488095
  Landmark 20: x=228.068390, y=357.388277, z=-662.770925
  Landmark 21: x=106.719511, y=-171.198803, z=-635.586093
