# Frame Index: 192
Hand 0
  Landmark 0: x=510.396460, y=119.511791, z=-636.443930
  Landmark 1: x=458.956740, y=159.081866, z=-657.770671
  Landmark 2: x=423.339274, y=210.782231, z=-654.311105
  Landmark 3: x=410.748631, y=268.340320, z=-660.135024
  Landmark 4: x=407.420337, y=321.586480, z=-671.951420
  Landmark 5: x=493.592137, y=269.340171, z=-651.000000
  Landmark 6: x=498.785321, y=349.853882, z=-660.267530
  Landmark 7: x=502.501288, y=396.271030, z=-662.025404
  Landmark 8: x=508.641972, y=432.697365, z=-666.730759
  Landmark 9: x=537.846684, y=265.244071, z=-649.000001
  Landmark 10: x=554.756174, y=347.382560, z=-653.522383
  Landmark 11: x=571.033720, y=399.692056, z=-657.559009
  Landmark 12: x=585.687501, y=436.902548, z=-662.642245
  Landmark 13: x=574.371742, y=250.141378, z=-650.954800
  Landmark 14: x=600.324147, y=323.437739, z=-649.000000
  Landmark 15: x=620.095842, y=368.253000, z=-652.000000
  Landmark 16: x=638.523964, y=404.353152, z=-658.000000
  Landmark 17: x=603.878483, y=231.163878, z=-656.419718
  Landmark 18: x=644.841513, y=277.103540, z=-662.450173
  Landmark 19: x=669.391753, y=306.340936, z=-664.572396
  Landmark 20: x=688.335510, y=333.376998, z=-667.521105
  Landmark 21: x=510.396460, y=-180.488209, z=-636.443930
Hand 1
  Landmark 0: x=104.835134, y=123.942182, z=-635.531439
  Landmark 1: x=51.513698, y=157.985659, z=-620.286028
  Landmark 2: x=53.587534, y=217.425139, z=-623.093771
  Landmark 3: x=100.179252, y=249.632077, z=-624.102524
  Landmark 4: x=147.320206, y=259.205103, z=-632.747824
  Landmark 5: x=76.287595, y=275.002228, z=-648.996998
  Landmark 6: x=74.697861, y=344.230280, z=-662.442977
  Landmark 7: x=76.434012, y=385.358482, z=-664.793761
  Landmark 8: x=79.634250, y=417.847554, z=-664.694896
  Landmark 9: x=117.104810, y=282.134848, z=-639.992512
  Landmark 10: x=125.723621, y=355.244565, z=-661.796882
  Landmark 11: x=131.772719, y=399.063191, z=-658.613778
  Landmark 12: x=138.101306, y=432.611904, z=-655.663717
  Landmark 13: x=150.553883, y=272.061306, z=-660.740026
  Landmark 14: x=163.809081, y=338.446430, z=-663.619558
  Landmark 15: x=169.096136, y=379.492158, z=-658.435935
  Landmark 16: x=173.898674, y=410.466327, z=-654.567108
  Landmark 17: x=180.855493, y=246.036002, z=-657.689860
  Landmark 18: x=204.863099, y=294.157237, z=-665.842346
  Landmark 19: x=216.303406, y=326.248567, z=-664.554404
  Landmark 20: x=225.288635, y=354.494521, z=-662.782881
  Landmark 21: x=104.835134, y=-176.057818, z=-635.531439
