# Frame Index: 38
Hand 0
  Landmark 0: x=505.186708, y=111.474424, z=-636.229782
  Landmark 1: x=450.881426, y=169.727398, z=-659.157318
  Landmark 2: x=420.692560, y=220.410930, z=-650.645492
  Landmark 3: x=404.080717, y=276.894544, z=-655.518303
  Landmark 4: x=394.635469, y=326.406699, z=-677.152030
  Landmark 5: x=506.367507, y=311.708424, z=-657.000748
  Landmark 6: x=521.686445, y=391.875898, z=-660.256983
  Landmark 7: x=512.529062, y=424.568762, z=-662.189159
  Landmark 8: x=523.761257, y=457.613752, z=-666.398180
  Landmark 9: x=552.475607, y=306.368215, z=-654.999999
  Landmark 10: x=558.543095, y=384.466154, z=-652.744186
  Landmark 11: x=581.554074, y=436.380194, z=-657.687776
  Landmark 12: x=583.754672, y=457.147195, z=-662.380562
  Landmark 13: x=580.942021, y=270.698138, z=-650.490196
  Landmark 14: x=644.604756, y=356.688471, z=-649.000000
  Landmark 15: x=674.366890, y=398.376803, z=-652.000000
  Landmark 16: x=687.268124, y=420.783198, z=-658.000000
  Landmark 17: x=617.054927, y=259.109152, z=-656.531616
  Landmark 18: x=666.422156, y=302.565957, z=-662.472590
  Landmark 19: x=672.023068, y=324.858499, z=-664.688782
  Landmark 20: x=694.894131, y=350.206517, z=-667.130248
  Landmark 21: x=505.186708, y=-188.525576, z=-636.229782
Hand 1
  Landmark 0: x=112.617713, y=128.538782, z=-635.588816
  Landmark 1: x=64.179538, y=160.967094, z=-619.698689
  Landmark 2: x=56.386915, y=223.375255, z=-619.140033
  Landmark 3: x=100.140220, y=248.435512, z=-622.812321
  Landmark 4: x=148.386593, y=303.163010, z=-647.341035
  Landmark 5: x=84.820256, y=282.910755, z=-652.000748
  Landmark 6: x=93.831877, y=346.634590, z=-662.426621
  Landmark 7: x=100.999807, y=387.516449, z=-664.711168
  Landmark 8: x=99.895145, y=413.062337, z=-664.588477
  Landmark 9: x=129.429355, y=282.285321, z=-651.999999
  Landmark 10: x=133.374989, y=363.372915, z=-661.947589
  Landmark 11: x=137.287995, y=402.544823, z=-658.056883
  Landmark 12: x=135.337866, y=427.960798, z=-655.582990
  Landmark 13: x=154.934512, y=281.621700, z=-660.385463
  Landmark 14: x=176.817487, y=348.768024, z=-663.296017
  Landmark 15: x=174.012213, y=394.688297, z=-658.338515
  Landmark 16: x=172.973222, y=420.788853, z=-654.567108
  Landmark 17: x=189.161345, y=249.738542, z=-657.573864
  Landmark 18: x=218.161852, y=304.523584, z=-665.663717
  Landmark 19: x=222.645676, y=341.398000, z=-664.461378
  Landmark 20: x=227.597582, y=357.011620, z=-662.770925
  Landmark 21: x=112.617713, y=-171.461218, z=-635.588816
