# Frame Index: 135
Hand 0
  Landmark 0: x=509.817800, y=120.438178, z=-636.443930
  Landmark 1: x=458.069533, y=163.237039, z=-658.271974
  Landmark 2: x=422.208937, y=214.913155, z=-654.728032
  Landmark 3: x=408.902030, y=272.104486, z=-659.920134
  Landmark 4: x=405.041798, y=324.188284, z=-672.198520
  Landmark 5: x=494.945183, y=275.202579, z=-651.000001
  Landmark 6: x=500.708877, y=356.398310, z=-660.278808
  Landmark 7: x=502.983548, y=401.708897, z=-662.151493
  Landmark 8: x=509.280373, y=437.408048, z=-666.665623
  Landmark 9: x=540.191282, y=271.409241, z=-651.000000
  Landmark 10: x=556.681264, y=353.548029, z=-653.641934
  Landmark 11: x=573.521496, y=405.264303, z=-657.660289
  Landmark 12: x=587.026201, y=440.007865, z=-662.578630
  Landmark 13: x=575.902434, y=254.552515, z=-650.944717
  Landmark 14: x=605.206633, y=328.715895, z=-649.000000
  Landmark 15: x=626.743817, y=373.145451, z=-652.000000
  Landmark 16: x=644.833504, y=406.848497, z=-658.000000
  Landmark 17: x=605.459441, y=236.163384, z=-656.449898
  Landmark 18: x=647.672162, y=281.122397, z=-662.490015
  Landmark 19: x=671.438940, y=309.280348, z=-664.588550
  Landmark 20: x=691.051273, y=335.474667, z=-667.478452
  Landmark 21: x=509.817800, y=-179.561822, z=-636.443930
Hand 1
  Landmark 0: x=106.321596, y=125.020839, z=-635.576693
  Landmark 1: x=54.224267, y=159.933114, z=-619.050414
  Landmark 2: x=49.743100, y=218.751853, z=-623.305755
  Landmark 3: x=93.222760, y=249.010327, z=-625.917599
  Landmark 4: x=140.023582, y=322.921954, z=-635.528028
  Landmark 5: x=81.786041, y=279.202078, z=-626.995503
  Landmark 6: x=90.372928, y=347.603444, z=-662.490196
  Landmark 7: x=98.711821, y=387.553961, z=-664.849284
  Landmark 8: x=106.643543, y=418.480253, z=-664.670908
  Landmark 9: x=120.133166, y=282.770791, z=-624.002261
  Landmark 10: x=128.415128, y=355.125767, z=-661.780569
  Landmark 11: x=134.970235, y=398.333938, z=-658.579073
  Landmark 12: x=140.835816, y=431.098116, z=-655.654152
  Landmark 13: x=151.907726, y=272.630027, z=-660.709356
  Landmark 14: x=163.831662, y=339.781217, z=-663.538390
  Landmark 15: x=167.954873, y=380.352653, z=-658.435935
  Landmark 16: x=171.612309, y=410.183558, z=-654.567108
  Landmark 17: x=183.654438, y=247.213090, z=-657.608262
  Landmark 18: x=207.359541, y=296.261251, z=-665.806039
  Landmark 19: x=217.609587, y=328.967637, z=-664.554404
  Landmark 20: x=225.868847, y=356.460741, z=-662.782881
  Landmark 21: x=106.321596, y=-174.979161, z=-635.576693
