# Frame Index: 240
Hand 0
  Landmark 0: x=510.977330, y=117.295311, z=-636.443930
  Landmark 1: x=459.579958, y=159.081866, z=-657.575227
  Landmark 2: x=424.070554, y=209.749802, z=-654.463237
  Landmark 3: x=411.697175, y=267.531846, z=-660.292180
  Landmark 4: x=409.018192, y=320.525661, z=-672.093487
  Landmark 5: x=493.601274, y=265.612270, z=-650.999999
  Landmark 6: x=498.243637, y=346.498749, z=-660.267530
  Landmark 7: x=501.708867, y=393.227891, z=-661.902820
  Landmark 8: x=507.379854, y=429.599913, z=-666.761758
  Landmark 9: x=537.322694, y=261.641093, z=-649.000000
  Landmark 10: x=554.060870, y=344.264625, z=-653.423056
  Landmark 11: x=569.708077, y=396.746481, z=-657.477013
  Landmark 12: x=583.947687, y=434.390918, z=-662.691419
  Landmark 13: x=574.663342, y=247.444084, z=-650.881845
  Landmark 14: x=598.787055, y=321.361677, z=-652.435430
  Landmark 15: x=617.418879, y=366.179175, z=-652.000000
  Landmark 16: x=635.306868, y=402.515683, z=-658.000000
  Landmark 17: x=604.943796, y=228.558918, z=-656.476364
  Landmark 18: x=644.652045, y=275.080442, z=-662.463760
  Landmark 19: x=668.607159, y=304.934067, z=-664.549136
  Landmark 20: x=686.613905, y=332.367222, z=-667.496684
  Landmark 21: x=510.977330, y=-182.704689, z=-636.443930
Hand 1
  Landmark 0: x=104.034189, y=124.042712, z=-635.543050
  Landmark 1: x=51.267265, y=154.085268, z=-620.686453
  Landmark 2: x=45.401953, y=209.245208, z=-626.069579
  Landmark 3: x=90.307224, y=238.873398, z=-631.414395
  Landmark 4: x=135.985831, y=246.494221, z=-643.352426
  Landmark 5: x=74.431665, y=274.669854, z=-648.995508
  Landmark 6: x=66.132029, y=342.155350, z=-662.403937
  Landmark 7: x=63.662151, y=384.027672, z=-664.731183
  Landmark 8: x=63.479088, y=416.830605, z=-664.712255
  Landmark 9: x=115.623073, y=281.349522, z=-640.991020
  Landmark 10: x=123.726776, y=354.927763, z=-661.811794
  Landmark 11: x=129.465592, y=398.975357, z=-658.617284
  Landmark 12: x=135.778612, y=432.980479, z=-655.663717
  Landmark 13: x=149.511065, y=270.631185, z=-660.758853
  Landmark 14: x=162.422368, y=337.576655, z=-663.620093
  Landmark 15: x=167.608054, y=379.057669, z=-658.435935
  Landmark 16: x=172.386076, y=410.812919, z=-654.567108
  Landmark 17: x=179.463515, y=244.569327, z=-657.745497
  Landmark 18: x=203.816593, y=292.613735, z=-665.862382
  Landmark 19: x=215.598344, y=324.830153, z=-664.554404
  Landmark 20: x=225.094665, y=353.789562, z=-662.782881
  Landmark 21: x=104.034189, y=-175.957288, z=-635.543050
