# Frame Index: 266
Hand 0
  Landmark 0: x=510.367156, y=115.843813, z=-636.443930
  Landmark 1: x=457.589402, y=157.240822, z=-657.607621
  Landmark 2: x=421.083221, y=209.351604, z=-655.054030
  Landmark 3: x=410.616893, y=265.608430, z=-661.133900
  Landmark 4: x=408.986894, y=317.460798, z=-671.451288
  Landmark 5: x=491.799915, y=264.534440, z=-651.000000
  Landmark 6: x=496.813742, y=344.590977, z=-660.263970
  Landmark 7: x=500.721867, y=390.883265, z=-661.818412
  Landmark 8: x=507.168903, y=427.409158, z=-666.771381
  Landmark 9: x=535.514338, y=260.898637, z=-649.999999
  Landmark 10: x=552.426043, y=342.964359, z=-653.376448
  Landmark 11: x=567.810251, y=394.913993, z=-657.436639
  Landmark 12: x=582.507754, y=433.163719, z=-662.696105
  Landmark 13: x=572.523027, y=246.948864, z=-650.871599
  Landmark 14: x=596.692806, y=320.182261, z=-652.528708
  Landmark 15: x=615.171303, y=364.829465, z=-652.000000
  Landmark 16: x=633.576141, y=401.911346, z=-658.000000
  Landmark 17: x=602.966291, y=228.109552, z=-656.469670
  Landmark 18: x=642.838089, y=274.454194, z=-662.430737
  Landmark 19: x=667.305941, y=304.229495, z=-664.554569
  Landmark 20: x=685.658237, y=331.592688, z=-667.519337
  Landmark 21: x=510.367156, y=-184.156187, z=-636.443930
Hand 1
  Landmark 0: x=102.228603, y=122.523845, z=-635.543331
  Landmark 1: x=49.342208, y=146.488359, z=-619.102548
  Landmark 2: x=2.773702, y=199.104351, z=-623.060412
  Landmark 3: x=-14.292531, y=248.737165, z=-628.129122
  Landmark 4: x=-35.276999, y=255.926420, z=-640.959271
  Landmark 5: x=72.447628, y=273.541415, z=-629.002252
  Landmark 6: x=64.055949, y=340.709264, z=-662.378892
  Landmark 7: x=61.395984, y=382.436664, z=-664.728703
  Landmark 8: x=61.248807, y=414.887383, z=-664.731664
  Landmark 9: x=113.327026, y=279.329215, z=-624.008990
  Landmark 10: x=121.318199, y=352.855625, z=-661.826561
  Landmark 11: x=127.030716, y=396.910849, z=-658.637052
  Landmark 12: x=133.437013, y=430.709796, z=-655.663717
  Landmark 13: x=147.284712, y=268.242070, z=-660.751685
  Landmark 14: x=160.308309, y=335.473655, z=-663.643021
  Landmark 15: x=165.803235, y=377.076371, z=-658.435935
  Landmark 16: x=170.831620, y=409.154384, z=-654.567108
  Landmark 17: x=177.438647, y=242.390963, z=-657.748176
  Landmark 18: x=201.918368, y=290.106450, z=-665.944132
  Landmark 19: x=214.053484, y=322.043593, z=-664.554404
  Landmark 20: x=223.664425, y=350.983037, z=-662.782881
  Landmark 21: x=102.228603, y=-177.476155, z=-635.543331
