# Frame Index: 37
Hand 0
  Landmark 0: x=514.986333, y=147.953585, z=-640.695745
  Landmark 1: x=452.324563, y=168.106285, z=-659.104532
  Landmark 2: x=420.062647, y=221.452926, z=-650.377716
  Landmark 3: x=403.709044, y=276.621009, z=-655.868137
  Landmark 4: x=395.118540, y=325.043983, z=-676.671067
  Landmark 5: x=512.227913, y=303.707767, z=-656.293651
  Landmark 6: x=520.210999, y=383.938563, z=-659.802043
  Landmark 7: x=512.702559, y=424.967073, z=-662.205917
  Landmark 8: x=523.544684, y=457.004596, z=-666.253237
  Landmark 9: x=556.349136, y=303.726040, z=-654.554381
  Landmark 10: x=558.543016, y=385.909229, z=-652.755579
  Landmark 11: x=580.551899, y=430.302214, z=-656.242162
  Landmark 12: x=584.157989, y=463.413583, z=-663.737710
  Landmark 13: x=594.622654, y=293.681131, z=-651.390110
  Landmark 14: x=639.120983, y=350.473688, z=-650.303132
  Landmark 15: x=666.679012, y=388.203348, z=-652.246881
  Landmark 16: x=684.080100, y=415.182727, z=-656.956511
  Landmark 17: x=611.358875, y=258.014177, z=-655.313809
  Landmark 18: x=659.229299, y=295.889424, z=-661.419156
  Landmark 19: x=672.996229, y=327.560166, z=-664.912230
  Landmark 20: x=694.494156, y=350.655541, z=-667.132915
  Landmark 21: x=505.144935, y=-188.779613, z=-636.204229
Hand 1
  Landmark 0: x=117.076671, y=122.589703, z=-635.618786
  Landmark 1: x=64.445214, y=163.139615, z=-619.583013
  Landmark 2: x=63.810505, y=226.087587, z=-619.623804
  Landmark 3: x=112.030332, y=257.208350, z=-626.512084
  Landmark 4: x=146.314846, y=294.323686, z=-643.785419
  Landmark 5: x=79.838131, y=273.936523, z=-650.373454
  Landmark 6: x=91.027002, y=352.241516, z=-666.378331
  Landmark 7: x=109.274696, y=389.720935, z=-663.583855
  Landmark 8: x=95.815052, y=420.983254, z=-664.940537
  Landmark 9: x=123.853561, y=277.104323, z=-648.852246
  Landmark 10: x=131.121204, y=357.407207, z=-665.000103
  Landmark 11: x=143.125489, y=404.825918, z=-656.360236
  Landmark 12: x=131.965306, y=437.071801, z=-655.263544
  Landmark 13: x=161.223199, y=277.920476, z=-662.217084
  Landmark 14: x=177.341812, y=348.241770, z=-663.552391
  Landmark 15: x=173.991452, y=394.599126, z=-658.402522
  Landmark 16: x=172.582488, y=426.676060, z=-653.717272
  Landmark 17: x=188.239959, y=249.367524, z=-657.478772
  Landmark 18: x=218.302125, y=302.211927, z=-665.671611
  Landmark 19: x=219.717286, y=336.892715, z=-665.593388
  Landmark 20: x=230.881013, y=366.205965, z=-661.519910
  Landmark 21: x=113.145494, y=-171.426101, z=-635.641902
