# Frame Index: 115
Hand 0
  Landmark 0: x=512.290365, y=126.716919, z=-638.707674
  Landmark 1: x=458.816784, y=164.881931, z=-657.562915
  Landmark 2: x=423.195814, y=216.722602, z=-655.004895
  Landmark 3: x=410.135751, y=272.818051, z=-659.887257
  Landmark 4: x=404.565364, y=324.487528, z=-672.158320
  Landmark 5: x=497.198068, y=281.868782, z=-653.212527
  Landmark 6: x=502.176215, y=362.092925, z=-660.446057
  Landmark 7: x=503.641836, y=403.810931, z=-662.164729
  Landmark 8: x=509.934913, y=437.027654, z=-666.333806
  Landmark 9: x=541.127903, y=278.485620, z=-650.308900
  Landmark 10: x=558.580000, y=358.761690, z=-653.956071
  Landmark 11: x=574.230554, y=405.756709, z=-657.672579
  Landmark 12: x=586.154774, y=437.456785, z=-661.969941
  Landmark 13: x=578.754873, y=265.839520, z=-650.558588
  Landmark 14: x=608.670158, y=331.490420, z=-649.249972
  Landmark 15: x=629.673279, y=373.161725, z=-652.270274
  Landmark 16: x=644.874512, y=401.447006, z=-656.931904
  Landmark 17: x=606.485518, y=238.196743, z=-656.433656
  Landmark 18: x=648.710558, y=282.311920, z=-662.288936
  Landmark 19: x=671.021312, y=308.806880, z=-664.528032
  Landmark 20: x=690.470189, y=333.610914, z=-667.171901
  Landmark 21: x=509.626570, y=-179.353392, z=-636.443933
Hand 1
  Landmark 0: x=108.116246, y=119.553784, z=-636.084394
  Landmark 1: x=54.950674, y=158.008040, z=-616.947944
  Landmark 2: x=21.800141, y=211.228720, z=-622.556264
  Landmark 3: x=2.877085, y=265.578269, z=-627.955022
  Landmark 4: x=-12.690909, y=315.836951, z=-637.067918
  Landmark 5: x=78.837821, y=273.279298, z=-631.446611
  Landmark 6: x=90.621003, y=346.698105, z=-662.813067
  Landmark 7: x=99.120152, y=387.553382, z=-664.839052
  Landmark 8: x=107.200694, y=420.644092, z=-664.628032
  Landmark 9: x=122.204992, y=275.909395, z=-639.325627
  Landmark 10: x=127.923600, y=353.796804, z=-665.073920
  Landmark 11: x=135.777423, y=402.268995, z=-657.587326
  Landmark 12: x=141.357784, y=435.875593, z=-655.349970
  Landmark 13: x=153.031119, y=266.826276, z=-662.628466
  Landmark 14: x=165.065548, y=337.948003, z=-664.512561
  Landmark 15: x=168.428886, y=384.131076, z=-657.988606
  Landmark 16: x=172.167686, y=416.109412, z=-653.954694
  Landmark 17: x=184.456362, y=243.522738, z=-656.543469
  Landmark 18: x=210.660566, y=297.719891, z=-668.350065
  Landmark 19: x=218.344589, y=331.305284, z=-664.137756
  Landmark 20: x=227.876796, y=361.422431, z=-662.530412
  Landmark 21: x=108.004860, y=-175.837813, z=-635.608006
