# Frame Index: 171
Hand 0
  Landmark 0: x=510.928202, y=121.270748, z=-637.989783
  Landmark 1: x=459.237290, y=161.786380, z=-656.911856
  Landmark 2: x=423.538979, y=213.609292, z=-655.218168
  Landmark 3: x=411.399568, y=269.874556, z=-660.505614
  Landmark 4: x=406.974077, y=321.851799, z=-671.912794
  Landmark 5: x=494.516890, y=276.396162, z=-651.295578
  Landmark 6: x=499.787325, y=356.380080, z=-660.666512
  Landmark 7: x=503.006018, y=398.006725, z=-662.201542
  Landmark 8: x=508.826174, y=431.308921, z=-666.375779
  Landmark 9: x=538.480720, y=272.419475, z=-650.258806
  Landmark 10: x=556.810086, y=352.496155, z=-653.985032
  Landmark 11: x=571.601077, y=399.770354, z=-657.681094
  Landmark 12: x=583.735766, y=431.419057, z=-661.762528
  Landmark 13: x=576.025275, y=259.536018, z=-650.703795
  Landmark 14: x=602.713541, y=326.564980, z=-649.465995
  Landmark 15: x=621.963459, y=369.096940, z=-652.153620
  Landmark 16: x=636.587033, y=397.694899, z=-656.755026
  Landmark 17: x=604.772289, y=232.925740, z=-656.459734
  Landmark 18: x=645.617316, y=278.301202, z=-662.471287
  Landmark 19: x=668.000447, y=304.750858, z=-664.515304
  Landmark 20: x=687.009090, y=329.899372, z=-667.106416
  Landmark 21: x=509.760309, y=-180.105123, z=-636.443917
Hand 1
  Landmark 0: x=108.454868, y=117.720363, z=-637.003018
  Landmark 1: x=52.983886, y=151.453889, z=-615.636436
  Landmark 2: x=14.690322, y=201.235043, z=-619.913297
  Landmark 3: x=-5.488918, y=255.309597, z=-616.775965
  Landmark 4: x=-26.009578, y=303.412267, z=-627.563857
  Landmark 5: x=79.683984, y=271.289634, z=-627.053936
  Landmark 6: x=82.701504, y=343.976781, z=-661.989480
  Landmark 7: x=87.781404, y=385.348914, z=-664.824093
  Landmark 8: x=94.149905, y=418.811723, z=-664.693309
  Landmark 9: x=123.334490, y=277.911516, z=-626.353197
  Landmark 10: x=127.196077, y=351.397232, z=-663.055546
  Landmark 11: x=134.274470, y=400.342708, z=-658.416509
  Landmark 12: x=140.985019, y=433.687948, z=-655.481788
  Landmark 13: x=147.959318, y=266.649219, z=-655.379969
  Landmark 14: x=165.806004, y=335.889043, z=-665.076347
  Landmark 15: x=170.281675, y=381.873971, z=-657.857971
  Landmark 16: x=175.470358, y=413.685985, z=-654.124572
  Landmark 17: x=180.657536, y=244.338862, z=-656.218083
  Landmark 18: x=210.622825, y=295.918469, z=-670.536351
  Landmark 19: x=216.228056, y=329.344278, z=-663.048855
  Landmark 20: x=226.723442, y=359.181054, z=-662.728869
  Landmark 21: x=106.203988, y=-175.899827, z=-635.586567
