# Frame Index: 247
Hand 0
  Landmark 0: x=511.758299, y=116.402809, z=-637.415570
  Landmark 1: x=460.185895, y=156.937442, z=-656.618247
  Landmark 2: x=424.262576, y=208.601454, z=-654.830090
  Landmark 3: x=411.523489, y=264.701236, z=-660.454386
  Landmark 4: x=408.656751, y=316.794498, z=-671.830556
  Landmark 5: x=493.961919, y=271.312569, z=-651.434266
  Landmark 6: x=498.458283, y=351.353548, z=-660.721009
  Landmark 7: x=501.695631, y=392.988736, z=-661.955800
  Landmark 8: x=506.873998, y=426.361262, z=-666.404809
  Landmark 9: x=537.881842, y=266.897453, z=-650.314346
  Landmark 10: x=555.253442, y=347.196085, z=-653.847329
  Landmark 11: x=569.244099, y=394.711027, z=-657.572356
  Landmark 12: x=580.901888, y=426.531131, z=-661.710718
  Landmark 13: x=575.511860, y=254.275145, z=-650.973012
  Landmark 14: x=599.343025, y=322.368482, z=-652.404905
  Landmark 15: x=617.174877, y=365.597645, z=-652.279491
  Landmark 16: x=631.297341, y=394.460808, z=-656.789406
  Landmark 17: x=605.013187, y=228.450170, z=-656.483953
  Landmark 18: x=644.574548, y=274.955506, z=-662.445479
  Landmark 19: x=666.053592, y=302.146796, z=-664.458139
  Landmark 20: x=683.753843, y=328.227597, z=-667.100454
  Landmark 21: x=510.947474, y=-183.237989, z=-636.443939
Hand 1
  Landmark 0: x=105.926036, y=113.417551, z=-635.781943
  Landmark 1: x=52.518400, y=152.528948, z=-618.769150
  Landmark 2: x=61.276314, y=214.659045, z=-623.868381
  Landmark 3: x=110.086906, y=245.202916, z=-628.937896
  Landmark 4: x=160.734712, y=240.244511, z=-645.110635
  Landmark 5: x=70.514840, y=265.656773, z=-644.700229
  Landmark 6: x=65.455173, y=343.790382, z=-664.259313
  Landmark 7: x=62.358579, y=385.451124, z=-664.795315
  Landmark 8: x=62.204335, y=419.514333, z=-664.703286
  Landmark 9: x=113.131378, y=272.938397, z=-653.673285
  Landmark 10: x=123.157843, y=354.069456, z=-662.580936
  Landmark 11: x=128.844936, y=403.220273, z=-658.206227
  Landmark 12: x=135.671089, y=436.544761, z=-655.302406
  Landmark 13: x=151.088096, y=264.779488, z=-661.949461
  Landmark 14: x=162.087689, y=336.056056, z=-664.259742
  Landmark 15: x=167.195619, y=382.101794, z=-657.899760
  Landmark 16: x=172.187774, y=413.948674, z=-654.195737
  Landmark 17: x=180.251148, y=238.570505, z=-656.450873
  Landmark 18: x=204.767701, y=293.652929, z=-667.775730
  Landmark 19: x=216.026072, y=326.290449, z=-664.196981
  Landmark 20: x=225.631882, y=356.386424, z=-662.631892
  Landmark 21: x=104.499967, y=-176.324226, z=-635.542467
