# Frame Index: 144
Hand 0
  Landmark 0: x=511.648043, y=123.695267, z=-638.368341
  Landmark 1: x=459.258562, y=163.353189, z=-657.185962
  Landmark 2: x=423.290782, y=214.971998, z=-655.025157
  Landmark 3: x=410.399199, y=271.088665, z=-660.107354
  Landmark 4: x=404.916726, y=322.919216, z=-671.721088
  Landmark 5: x=495.722508, y=278.813224, z=-652.334922
  Landmark 6: x=500.486142, y=358.961074, z=-660.498786
  Landmark 7: x=502.860953, y=400.640230, z=-662.142545
  Landmark 8: x=508.699184, y=433.933969, z=-666.358762
  Landmark 9: x=539.663271, y=274.974651, z=-650.289980
  Landmark 10: x=557.610100, y=355.139460, z=-653.983133
  Landmark 11: x=572.671544, y=402.327692, z=-657.685502
  Landmark 12: x=584.715661, y=433.996684, z=-661.876342
  Landmark 13: x=577.269870, y=262.271348, z=-650.670260
  Landmark 14: x=604.913965, y=328.911310, z=-649.406643
  Landmark 15: x=624.940837, y=371.072379, z=-652.256011
  Landmark 16: x=639.851813, y=399.516635, z=-656.887642
  Landmark 17: x=605.651596, y=235.278465, z=-656.457292
  Landmark 18: x=646.861270, y=280.327931, z=-662.431855
  Landmark 19: x=669.189916, y=306.821151, z=-664.507114
  Landmark 20: x=688.224982, y=331.944312, z=-667.149420
  Landmark 21: x=509.859389, y=-179.745052, z=-636.443913
Hand 1
  Landmark 0: x=105.912663, y=119.791384, z=-635.632684
  Landmark 1: x=55.717317, y=162.413964, z=-617.322731
  Landmark 2: x=70.899805, y=223.281002, z=-622.571303
  Landmark 3: x=115.409123, y=259.853738, z=-627.310283
  Landmark 4: x=145.023942, y=303.764988, z=-634.100519
  Landmark 5: x=81.004482, y=274.142477, z=-627.533836
  Landmark 6: x=89.773609, y=346.422788, z=-662.342999
  Landmark 7: x=98.131956, y=387.278996, z=-664.873213
  Landmark 8: x=106.867550, y=420.202990, z=-664.687138
  Landmark 9: x=124.992791, y=277.810390, z=-626.401516
  Landmark 10: x=127.383052, y=351.169879, z=-663.479775
  Landmark 11: x=134.804487, y=400.014888, z=-658.344429
  Landmark 12: x=141.128084, y=433.438591, z=-655.443174
  Landmark 13: x=148.720169, y=266.509770, z=-656.151851
  Landmark 14: x=164.581512, y=336.328282, z=-665.122387
  Landmark 15: x=168.116804, y=382.389625, z=-657.869484
  Landmark 16: x=172.585082, y=414.297708, z=-654.025799
  Landmark 17: x=181.421760, y=244.192152, z=-656.549507
  Landmark 18: x=210.653778, y=296.550120, z=-669.492440
  Landmark 19: x=217.122755, y=330.140324, z=-663.608846
  Landmark 20: x=226.924161, y=360.197969, z=-662.629403
  Landmark 21: x=106.777474, y=-176.166135, z=-635.596603
