# Frame Index: 207
Hand 0
  Landmark 0: x=511.340402, y=118.496402, z=-637.252070
  Landmark 1: x=460.499905, y=159.732681, z=-656.907213
  Landmark 2: x=424.192433, y=211.116009, z=-654.816092
  Landmark 3: x=411.913205, y=267.320860, z=-660.414071
  Landmark 4: x=408.575749, y=319.410504, z=-671.677859
  Landmark 5: x=494.178105, y=273.463596, z=-651.425742
  Landmark 6: x=498.855781, y=353.504855, z=-660.620035
  Landmark 7: x=502.163527, y=395.130373, z=-661.987075
  Landmark 8: x=507.595133, y=428.475307, z=-666.339945
  Landmark 9: x=538.129487, y=269.376710, z=-650.294166
  Landmark 10: x=555.888221, y=349.586574, z=-653.917672
  Landmark 11: x=570.267524, y=396.986186, z=-657.632001
  Landmark 12: x=582.261824, y=428.686614, z=-661.726951
  Landmark 13: x=575.751762, y=256.720895, z=-650.705915
  Landmark 14: x=600.710780, y=324.412460, z=-649.450210
  Landmark 15: x=619.109921, y=367.319305, z=-652.138044
  Landmark 16: x=633.526712, y=396.020223, z=-656.750903
  Landmark 17: x=604.756296, y=230.388098, z=-656.446011
  Landmark 18: x=644.851094, y=276.428614, z=-662.451426
  Landmark 19: x=666.762172, y=303.272241, z=-664.473848
  Landmark 20: x=684.992143, y=328.986743, z=-667.104723
  Landmark 21: x=510.803460, y=-181.617086, z=-636.443950
Hand 1
  Landmark 0: x=108.482488, y=113.371657, z=-636.223313
  Landmark 1: x=59.079137, y=156.815951, z=-617.691890
  Landmark 2: x=58.967658, y=219.663223, z=-621.305723
  Landmark 3: x=108.853402, y=248.678724, z=-624.563844
  Landmark 4: x=159.157480, y=239.668741, z=-640.044878
  Landmark 5: x=72.273097, y=265.203204, z=-648.320029
  Landmark 6: x=70.268005, y=344.409626, z=-663.660857
  Landmark 7: x=69.873935, y=386.168131, z=-664.912207
  Landmark 8: x=71.661567, y=420.184171, z=-664.693390
  Landmark 9: x=115.552050, y=273.807018, z=-646.703334
  Landmark 10: x=124.656133, y=353.804194, z=-663.427334
  Landmark 11: x=130.634867, y=402.824719, z=-658.086289
  Landmark 12: x=137.410036, y=436.175470, z=-655.370869
  Landmark 13: x=151.048537, y=265.359474, z=-662.337055
  Landmark 14: x=163.728458, y=336.371316, z=-664.130236
  Landmark 15: x=168.945800, y=382.433400, z=-657.980888
  Landmark 16: x=174.193770, y=414.231925, z=-654.215529
  Landmark 17: x=180.714808, y=239.832308, z=-656.345052
  Landmark 18: x=206.193594, y=294.427793, z=-667.901504
  Landmark 19: x=216.665812, y=327.310868, z=-664.186425
  Landmark 20: x=226.332248, y=357.387148, z=-662.616055
  Landmark 21: x=106.430879, y=-175.881550, z=-635.557410
