# Frame Index: 167
Hand 0
  Landmark 0: x=510.961827, y=121.623897, z=-638.091490
  Landmark 1: x=459.458393, y=162.463785, z=-656.826793
  Landmark 2: x=423.183777, y=213.887669, z=-655.218006
  Landmark 3: x=410.503814, y=270.027741, z=-660.567117
  Landmark 4: x=406.022190, y=322.021689, z=-671.875839
  Landmark 5: x=494.654814, y=276.674155, z=-652.366213
  Landmark 6: x=499.873848, y=356.782411, z=-660.639536
  Landmark 7: x=503.112075, y=398.406037, z=-662.214789
  Landmark 8: x=508.931589, y=431.708808, z=-666.385321
  Landmark 9: x=538.621478, y=272.765641, z=-651.198501
  Landmark 10: x=556.954618, y=352.877900, z=-654.035282
  Landmark 11: x=571.746583, y=400.155991, z=-657.677257
  Landmark 12: x=583.853520, y=431.814530, z=-661.764834
  Landmark 13: x=576.163105, y=259.874909, z=-650.716747
  Landmark 14: x=603.014626, y=326.838358, z=-649.463837
  Landmark 15: x=622.318115, y=369.345016, z=-652.167497
  Landmark 16: x=636.980528, y=397.923027, z=-656.769269
  Landmark 17: x=604.883440, y=233.231581, z=-656.452972
  Landmark 18: x=645.792162, y=278.547876, z=-662.477696
  Landmark 19: x=668.224406, y=304.955795, z=-664.522797
  Landmark 20: x=687.247572, y=330.094501, z=-667.102238
  Landmark 21: x=509.705296, y=-180.089473, z=-636.443933
Hand 1
  Landmark 0: x=107.619473, y=117.931020, z=-636.470162
  Landmark 1: x=53.713737, y=154.734898, z=-616.193121
  Landmark 2: x=19.675524, y=207.656757, z=-618.071728
  Landmark 3: x=19.302559, y=265.457693, z=-617.948477
  Landmark 4: x=35.042782, y=316.091943, z=-624.254107
  Landmark 5: x=79.971431, y=271.729377, z=-626.882666
  Landmark 6: x=84.627989, y=344.228564, z=-662.028131
  Landmark 7: x=90.625653, y=385.479727, z=-664.832385
  Landmark 8: x=97.795838, y=418.779906, z=-664.686142
  Landmark 9: x=123.729707, y=277.613825, z=-626.340567
  Landmark 10: x=127.509978, y=351.142302, z=-662.965662
  Landmark 11: x=134.671018, y=400.086325, z=-658.439488
  Landmark 12: x=141.462127, y=433.414369, z=-655.494754
  Landmark 13: x=148.240459, y=266.454978, z=-655.503526
  Landmark 14: x=165.976848, y=335.745220, z=-665.040832
  Landmark 15: x=170.259095, y=381.757296, z=-657.878320
  Landmark 16: x=175.459200, y=413.562911, z=-654.106472
  Landmark 17: x=180.779210, y=243.909826, z=-656.261123
  Landmark 18: x=210.620728, y=295.691473, z=-670.100649
  Landmark 19: x=216.362669, y=329.236212, z=-663.278111
  Landmark 20: x=226.704062, y=359.122452, z=-662.680218
  Landmark 21: x=106.448518, y=-176.180424, z=-635.597534
