# Frame Index: 256
Hand 0
  Landmark 0: x=510.929176, y=116.050848, z=-637.637611
  Landmark 1: x=459.591044, y=157.162812, z=-656.231021
  Landmark 2: x=423.214606, y=208.528454, z=-655.145834
  Landmark 3: x=411.126354, y=264.800292, z=-660.480375
  Landmark 4: x=410.319553, y=317.072047, z=-671.359538
  Landmark 5: x=492.916001, y=271.052155, z=-650.302108
  Landmark 6: x=498.001811, y=350.899912, z=-660.860943
  Landmark 7: x=501.502367, y=392.516772, z=-661.990976
  Landmark 8: x=506.940155, y=425.847367, z=-666.444802
  Landmark 9: x=536.841800, y=266.554502, z=-650.252757
  Landmark 10: x=554.620195, y=346.762329, z=-653.824599
  Landmark 11: x=568.613036, y=394.275772, z=-657.560562
  Landmark 12: x=580.339142, y=426.069892, z=-661.705661
  Landmark 13: x=574.487837, y=253.977955, z=-650.870671
  Landmark 14: x=598.486598, y=322.011277, z=-652.355253
  Landmark 15: x=616.272200, y=365.259150, z=-652.144573
  Landmark 16: x=630.453332, y=394.082821, z=-656.722436
  Landmark 17: x=604.052415, y=228.246196, z=-656.477850
  Landmark 18: x=643.807221, y=274.586086, z=-662.440875
  Landmark 19: x=665.434531, y=301.659557, z=-664.454123
  Landmark 20: x=683.308167, y=327.622972, z=-667.085320
  Landmark 21: x=510.626771, y=-183.912689, z=-636.443944
Hand 1
  Landmark 0: x=107.204724, y=113.526972, z=-637.762602
  Landmark 1: x=52.819390, y=147.966662, z=-614.791858
  Landmark 2: x=33.049367, y=207.261724, z=-622.281435
  Landmark 3: x=66.230341, y=254.537730, z=-624.540755
  Landmark 4: x=115.073581, y=256.163245, z=-646.059074
  Landmark 5: x=75.465675, y=266.778796, z=-633.666233
  Landmark 6: x=64.648349, y=341.290070, z=-662.719190
  Landmark 7: x=61.832888, y=382.925839, z=-664.726573
  Landmark 8: x=61.378837, y=416.986505, z=-664.721837
  Landmark 9: x=118.169418, y=276.315433, z=-627.737479
  Landmark 10: x=121.739481, y=350.626179, z=-662.770213
  Landmark 11: x=127.735799, y=399.747860, z=-658.481957
  Landmark 12: x=133.993380, y=433.181158, z=-655.548206
  Landmark 13: x=144.195159, y=265.444796, z=-655.670706
  Landmark 14: x=161.787652, y=334.860706, z=-664.537108
  Landmark 15: x=166.767738, y=380.896811, z=-658.008224
  Landmark 16: x=171.802161, y=412.737981, z=-654.312303
  Landmark 17: x=176.119057, y=242.038752, z=-656.476926
  Landmark 18: x=207.090361, y=293.203793, z=-670.126258
  Landmark 19: x=215.131361, y=326.271804, z=-663.298714
  Landmark 20: x=225.725708, y=356.069435, z=-662.706949
  Landmark 21: x=104.054404, y=-176.510905, z=-635.545385
