# Frame Index: 214
Hand 0
  Landmark 0: x=511.527949, y=117.908546, z=-637.189104
  Landmark 1: x=460.822125, y=159.231358, z=-657.009706
  Landmark 2: x=424.695078, y=210.740401, z=-654.886808
  Landmark 3: x=412.391236, y=266.948439, z=-660.398229
  Landmark 4: x=408.361668, y=318.975374, z=-671.725447
  Landmark 5: x=494.153758, y=272.849716, z=-651.389101
  Landmark 6: x=498.789896, y=352.887789, z=-660.632033
  Landmark 7: x=502.057669, y=394.517759, z=-661.959092
  Landmark 8: x=507.542483, y=427.851408, z=-666.331661
  Landmark 9: x=538.081666, y=268.835813, z=-649.405516
  Landmark 10: x=555.716466, y=349.031443, z=-653.855177
  Landmark 11: x=570.047108, y=396.442812, z=-657.607334
  Landmark 12: x=582.019183, y=428.151153, z=-661.706084
  Landmark 13: x=575.669123, y=256.133776, z=-650.676780
  Landmark 14: x=600.361760, y=323.923409, z=-649.445239
  Landmark 15: x=618.568333, y=366.913161, z=-652.119705
  Landmark 16: x=632.943061, y=395.634528, z=-656.736617
  Landmark 17: x=604.781093, y=229.925588, z=-656.443238
  Landmark 18: x=644.753174, y=276.072731, z=-662.448329
  Landmark 19: x=666.600159, y=302.968512, z=-664.471307
  Landmark 20: x=684.750057, y=328.739668, z=-667.101447
  Landmark 21: x=510.949537, y=-181.988677, z=-636.443935
Hand 1
  Landmark 0: x=109.818730, y=112.635906, z=-637.254820
  Landmark 1: x=57.865201, y=151.825473, z=-616.361748
  Landmark 2: x=22.666932, y=203.840145, z=-620.652178
  Landmark 3: x=29.570612, y=261.223554, z=-619.886922
  Landmark 4: x=79.652856, y=259.000252, z=-638.276270
  Landmark 5: x=74.932240, y=264.984201, z=-646.376183
  Landmark 6: x=68.667281, y=343.577648, z=-663.605209
  Landmark 7: x=68.093650, y=385.334754, z=-664.833628
  Landmark 8: x=69.273868, y=419.377712, z=-664.696709
  Landmark 9: x=117.000027, y=275.172612, z=-637.646644
  Landmark 10: x=124.272111, y=352.906076, z=-663.468158
  Landmark 11: x=130.379830, y=401.923013, z=-658.241329
  Landmark 12: x=137.027444, y=435.293900, z=-655.458850
  Landmark 13: x=148.284957, y=265.840850, z=-660.228631
  Landmark 14: x=163.880803, y=336.176676, z=-664.268277
  Landmark 15: x=168.823265, y=382.253234, z=-658.001432
  Landmark 16: x=174.080905, y=414.050406, z=-654.238180
  Landmark 17: x=178.881341, y=240.984485, z=-656.533994
  Landmark 18: x=206.842029, y=294.295341, z=-668.346719
  Landmark 19: x=216.394239, y=327.384460, z=-664.030199
  Landmark 20: x=226.468584, y=357.334541, z=-662.619862
  Landmark 21: x=105.927828, y=-175.774621, z=-635.550109
