# Frame Index: 56
Hand 0
  Landmark 0: x=513.731178, y=140.122531, z=-639.046411
  Landmark 1: x=455.025584, y=168.737335, z=-659.204726
  Landmark 2: x=419.301421, y=220.120693, z=-652.393967
  Landmark 3: x=404.514833, y=275.766824, z=-657.489744
  Landmark 4: x=397.782000, y=325.839557, z=-674.773633
  Landmark 5: x=506.431552, y=295.677905, z=-655.155722
  Landmark 6: x=513.780104, y=375.879059, z=-660.331872
  Landmark 7: x=510.128037, y=417.453462, z=-662.261975
  Landmark 8: x=518.957915, y=450.100454, z=-666.329118
  Landmark 9: x=550.508181, y=294.296853, z=-652.908379
  Landmark 10: x=560.372682, y=375.935173, z=-652.878505
  Landmark 11: x=578.941022, y=421.803489, z=-657.191072
  Landmark 12: x=587.915571, y=454.280546, z=-662.690819
  Landmark 13: x=588.575392, y=283.240718, z=-650.805016
  Landmark 14: x=628.724123, y=343.189659, z=-649.866360
  Landmark 15: x=653.770286, y=382.605293, z=-652.284565
  Landmark 16: x=670.191222, y=410.194731, z=-656.979315
  Landmark 17: x=609.751642, y=250.173910, z=-655.882466
  Landmark 18: x=655.964588, y=290.054281, z=-661.990386
  Landmark 19: x=675.319240, y=318.735398, z=-664.739341
  Landmark 20: x=696.274004, y=342.313336, z=-667.077596
  Landmark 21: x=505.824316, y=-183.355382, z=-636.430725
Hand 1
  Landmark 0: x=110.644582, y=122.492398, z=-635.601945
  Landmark 1: x=53.964875, y=157.514817, z=-620.358809
  Landmark 2: x=20.943858, y=210.883614, z=-625.281805
  Landmark 3: x=5.435605, y=266.531776, z=-627.251178
  Landmark 4: x=-13.385705, y=312.444306, z=-646.977820
  Landmark 5: x=80.456728, y=275.050662, z=-653.627999
  Landmark 6: x=95.357355, y=353.709934, z=-663.811762
  Landmark 7: x=109.589874, y=392.949691, z=-665.592366
  Landmark 8: x=109.761366, y=426.989476, z=-664.328195
  Landmark 9: x=122.728817, y=279.786814, z=-641.781200
  Landmark 10: x=131.192014, y=357.852498, z=-666.199409
  Landmark 11: x=139.975228, y=405.785891, z=-656.580139
  Landmark 12: x=139.462938, y=439.897199, z=-655.273638
  Landmark 13: x=156.355382, y=274.609250, z=-662.231670
  Landmark 14: x=172.616253, y=344.882446, z=-664.216432
  Landmark 15: x=172.725472, y=391.262287, z=-658.245764
  Landmark 16: x=173.611458, y=423.395738, z=-653.827418
  Landmark 17: x=184.836091, y=247.539163, z=-657.364646
  Landmark 18: x=214.201138, y=300.706916, z=-665.982737
  Landmark 19: x=220.739699, y=334.777579, z=-664.885591
  Landmark 20: x=230.438239, y=364.754322, z=-662.088824
  Landmark 21: x=106.825042, y=-171.025867, z=-635.568541
