# Frame Index: 259
Hand 0
  Landmark 0: x=511.195636, y=115.740665, z=-637.535206
  Landmark 1: x=459.532656, y=156.294630, z=-656.451447
  Landmark 2: x=423.023642, y=207.555044, z=-654.930333
  Landmark 3: x=411.199655, y=263.840960, z=-660.691527
  Landmark 4: x=408.678708, y=316.078274, z=-671.473478
  Landmark 5: x=492.632936, y=270.666723, z=-650.326285
  Landmark 6: x=497.785302, y=350.518954, z=-660.818819
  Landmark 7: x=501.288561, y=392.134973, z=-661.971149
  Landmark 8: x=506.821381, y=425.448090, z=-666.438706
  Landmark 9: x=536.573390, y=266.392220, z=-651.146190
  Landmark 10: x=554.364300, y=346.630748, z=-653.864078
  Landmark 11: x=568.381477, y=394.140159, z=-657.559924
  Landmark 12: x=580.155500, y=425.914561, z=-661.720597
  Landmark 13: x=574.224388, y=253.818496, z=-650.865118
  Landmark 14: x=598.235960, y=321.846467, z=-652.387217
  Landmark 15: x=616.031276, y=365.089934, z=-652.104634
  Landmark 16: x=630.284495, y=393.874100, z=-656.707131
  Landmark 17: x=603.924743, y=228.244789, z=-656.477830
  Landmark 18: x=643.599608, y=274.655544, z=-662.422086
  Landmark 19: x=665.289157, y=301.677954, z=-664.451558
  Landmark 20: x=683.178509, y=327.628940, z=-667.098538
  Landmark 21: x=510.538371, y=-184.071190, z=-636.443228
Hand 1
  Landmark 0: x=104.067966, y=114.901424, z=-636.183592
  Landmark 1: x=50.707889, y=152.961808, z=-616.802626
  Landmark 2: x=15.816129, y=205.135944, z=-621.627202
  Landmark 3: x=-5.349137, y=258.145341, z=-612.509226
  Landmark 4: x=26.652341, y=254.796104, z=-655.124148
  Landmark 5: x=74.519022, y=268.443088, z=-628.304123
  Landmark 6: x=64.507463, y=340.882174, z=-662.441594
  Landmark 7: x=61.661397, y=382.500975, z=-664.737049
  Landmark 8: x=61.288239, y=416.562614, z=-664.726537
  Landmark 9: x=118.004987, y=276.078233, z=-627.684643
  Landmark 10: x=121.549076, y=350.350259, z=-662.802023
  Landmark 11: x=127.620528, y=399.458869, z=-658.470056
  Landmark 12: x=133.968669, y=432.875884, z=-655.545470
  Landmark 13: x=143.956475, y=265.089895, z=-655.640887
  Landmark 14: x=161.481312, y=334.513826, z=-664.578223
  Landmark 15: x=166.593527, y=380.527325, z=-657.992348
  Landmark 16: x=171.709787, y=412.357261, z=-654.312095
  Landmark 17: x=175.815876, y=241.599617, z=-656.542722
  Landmark 18: x=206.690300, y=292.842267, z=-670.120195
  Landmark 19: x=214.944045, y=325.855841, z=-663.283090
  Landmark 20: x=225.536811, y=355.654296, z=-662.704680
  Landmark 21: x=103.467885, y=-176.625157, z=-635.544146
