# Frame Index: 146
Hand 0
  Landmark 0: x=511.613628, y=123.495890, z=-638.370472
  Landmark 1: x=459.408787, y=163.422466, z=-657.133074
  Landmark 2: x=423.034808, y=214.756694, z=-654.992219
  Landmark 3: x=409.851150, y=270.796202, z=-660.175557
  Landmark 4: x=404.915281, y=322.692353, z=-671.741474
  Landmark 5: x=495.585580, y=278.600619, z=-652.366668
  Landmark 6: x=500.436560, y=358.745637, z=-660.506870
  Landmark 7: x=502.835965, y=400.423755, z=-662.141334
  Landmark 8: x=508.680254, y=433.716052, z=-666.360596
  Landmark 9: x=539.556794, y=274.744363, z=-651.196669
  Landmark 10: x=557.531766, y=354.937751, z=-654.033163
  Landmark 11: x=572.595586, y=402.129341, z=-657.682721
  Landmark 12: x=584.613539, y=433.809134, z=-661.867052
  Landmark 13: x=577.163838, y=262.046688, z=-650.692320
  Landmark 14: x=604.738398, y=328.715231, z=-649.417030
  Landmark 15: x=624.711692, y=370.902513, z=-652.254555
  Landmark 16: x=639.553081, y=399.384027, z=-656.880744
  Landmark 17: x=605.593563, y=235.099457, z=-656.456485
  Landmark 18: x=646.765758, y=280.182505, z=-662.436155
  Landmark 19: x=669.105054, y=306.667229, z=-664.505321
  Landmark 20: x=688.124414, y=331.802401, z=-667.146489
  Landmark 21: x=509.826253, y=-179.788043, z=-636.443927
Hand 1
  Landmark 0: x=106.289066, y=119.542229, z=-635.748852
  Landmark 1: x=56.284654, y=162.188503, z=-616.977447
  Landmark 2: x=69.712068, y=223.463083, z=-622.267272
  Landmark 3: x=113.922111, y=260.361159, z=-627.277934
  Landmark 4: x=143.341917, y=304.335894, z=-634.491887
  Landmark 5: x=81.153028, y=273.859722, z=-627.713952
  Landmark 6: x=89.738041, y=346.287538, z=-662.261431
  Landmark 7: x=98.010733, y=387.155837, z=-664.876548
  Landmark 8: x=106.782433, y=420.070181, z=-664.681343
  Landmark 9: x=125.122677, y=277.690151, z=-626.408034
  Landmark 10: x=127.430094, y=351.087182, z=-663.417181
  Landmark 11: x=134.803327, y=399.948930, z=-658.372467
  Landmark 12: x=141.108185, y=433.373801, z=-655.444015
  Landmark 13: x=148.795553, y=266.385407, z=-656.200190
  Landmark 14: x=164.663396, y=336.217193, z=-665.055170
  Landmark 15: x=168.177975, y=382.295365, z=-657.899744
  Landmark 16: x=172.543363, y=414.216465, z=-654.045953
  Landmark 17: x=181.537020, y=244.125116, z=-656.522344
  Landmark 18: x=210.810754, y=296.384244, z=-669.766938
  Landmark 19: x=216.917898, y=329.968938, z=-663.479094
  Landmark 20: x=226.858174, y=359.985621, z=-662.655438
  Landmark 21: x=107.045153, y=-176.207540, z=-635.606138
